date,Bottom_average
2024-11,-0.05155657500611862
2024-10,0.02565133365335837
2024-09,-0.03237658632606698
2024-08,0.010779250643786433
2024-07,-0.1243165031150549
2024-06,0.0333121496381469
2024-05,-0.10626378544432404
2024-04,-0.001161500207399359
2024-03,-0.12914183508738644
2024-02,-0.044718134414236985
2024-01,0.06693776966344123
2023-12,-0.08986393427903973
2023-11,0.13058005139056666
2023-10,0.03370373594484093
2023-09,-0.1571930275668185
2023-08,-0.13672351011167166
2023-07,-0.1310008321440243
2023-06,0.07665191270327051
2023-05,0.04522335893460015
2023-04,0.03088907895432482
2023-03,-0.03341054488540593
2023-02,-0.1358656607165043
2023-01,-0.11695090797287462
2022-12,0.2162522427760872
2022-11,-0.11743035101929666
2022-10,-0.062275199094314344
2022-09,-0.013323085993017377
2022-08,-0.20199419268597288
2022-07,0.027275188859518837
2022-06,0.0270659841801121
2022-05,-0.06096262129548813
2022-04,-0.0849555393413213
2022-03,-0.26079803034816346
2022-02,-0.014710732957443644
2022-01,-0.061626410059882175
2021-12,-0.18425516335309725
2021-11,-0.0691516967998733
2021-10,-0.11007084241610132
2021-09,-0.02472444777379292
2021-08,-0.06267059957510167
2021-07,0.027529003888425052
2021-06,-0.11410514237580462
2021-05,0.02117187292334907
2021-04,-0.0028298597183540673
2021-03,-0.027712523072374505
2021-02,0.021141821507114567
2021-01,0.13470968582231846
2020-12,0.10138751642236492
2020-11,0.0949609977982896
2020-10,0.30314576149378425
2020-09,-0.031040358228391626
2020-08,-0.09033393388871104
2020-07,0.03524988678821999
2020-06,0.005394956298064348
2020-05,0.06696005034100024
2020-04,0.06897121213342476
2020-03,0.19303875229123624
2020-02,-0.36463393365187086
2020-01,-0.10281011323089824
2019-12,-0.0923861097363879
2019-11,0.07804698903810468
2019-10,0.006440945039822948
2019-09,-0.0389524760245928
2019-08,0.009629883593034985
2019-07,-0.11957266405016259
2019-06,-0.039259433360938956
2019-05,0.028552447616612363
2019-04,-0.14447216405824273
2019-03,-0.00856242374545118
2019-02,-0.0057531847417603066
2019-01,0.04388068991991132
2018-12,0.16579032969444604
2018-11,-0.19767096238695783
2018-10,-0.04680445275065961
2018-09,-0.1448730824948529
2018-08,-0.027388709015579125
2018-07,0.008915133483933071
2018-06,-0.02105822770333651
2018-05,-0.011261236578339754
2018-04,0.057660144897897045
2018-03,0.008517778303610656
2018-02,-0.01810124717953484
2018-01,-0.08619107236213228
2017-12,0.014973880432721465
2017-11,0.036539750527436236
2017-10,0.050029777173991256
2017-09,-0.02834413635165784
2017-08,0.06444962757026283
2017-07,-0.040018687623651114
2017-06,-0.019532000217252272
2017-05,0.036550226277754866
2017-04,-0.05556922943949242
2017-03,-0.05050854482926927
2017-02,-0.00017577269011828122
2017-01,0.014721272533383756
2016-12,0.01663083743351224
2016-11,-0.015406936162004241
2016-10,0.07563150913131557
2016-09,-0.12688986377341338
2016-08,0.0236586825585887
2016-07,0.03729054449092874
2016-06,0.07061301881218744
2016-05,-0.0326666750147925
2016-04,-0.06734724481531429
2016-03,0.09866445521267625
2016-02,0.11062269652135802
2016-01,0.028017560049946568
2015-12,-0.16208991435583597
2015-11,-0.1052919048511963
2015-10,-0.01833159239718822
2015-09,0.05158005281770608
2015-08,-0.12474198672001598
2015-07,-0.04817851454380673
2015-06,-0.11706893043886947
2015-05,-0.03262396478813879
2015-04,-0.025968097055877402
2015-03,0.046034839873904276
2015-02,-0.051998462511799536
2015-01,0.07192651381345598
2014-12,-0.0356681944146329
2014-11,-0.010097257588394784
2014-10,0.003913582025429973
2014-09,-0.023174150912290394
2014-08,-0.08219682386379339
2014-07,0.04202561867408224
2014-06,-0.04180837875772978
2014-05,0.047682459655758236
2014-04,-0.0234187120180982
2014-03,-0.01843586690131235
2014-02,-0.018353555876959693
2014-01,0.060617824330772105
2013-12,0.012621984021530806
2013-11,0.0237215621228269
2013-10,0.004648643817917882
2013-09,0.00861689764212361
2013-08,0.02701744120492065
2013-07,-0.02214496707321105
2013-06,0.06114251039582308
2013-05,-0.027078121537819553
2013-04,0.052207846151451846
2013-03,-0.04332470949770348
2013-02,0.010562598803920586
2013-01,-0.026852219543760054
2012-12,0.08199099645664853
2012-11,0.028088678147327104
2012-10,-0.007506534885048159
2012-09,-0.044680630768227446
2012-08,0.03825873570956285
2012-07,0.015652684922906484
2012-06,-0.03896426566069844
2012-05,0.01643433042685842
2012-04,-0.14538380733489054
2012-03,-0.048271283758544004
2012-02,-0.0036693539952391257
2012-01,0.041914632571327916
2011-12,0.14792983892712777
2011-11,-0.03701502179324756
2011-10,-0.07660089671064123
2011-09,0.09469866702150276
2011-08,-0.12714478764451365
2011-07,-0.13176544110665178
2011-06,-0.04406172561453874
2011-05,-0.05439275206251933
2011-04,-0.04735334826634733
2011-03,-0.006882611452882446
2011-02,-0.00565872333591036
2011-01,0.021075176192119988
2010-12,0.0008762852838213775
2010-11,0.09428351197827622
2010-10,0.024458504057430785
2010-09,0.043179024364173306
2010-08,0.1172214058268846
2010-07,-0.09304076185099865
2010-06,0.0339496648992677
2010-05,-0.08372784040780955
2010-04,-0.0863958740622581
2010-03,0.03632925963625048
2010-02,0.056552837651546235
2010-01,0.015595148752053513
2009-12,-0.020597554677893346
2009-11,0.09011719706315177
2009-10,0.013305080577225424
2009-09,-0.07519191650164346
2009-08,0.11238479973036646
2009-07,0.11865401335760262
2009-06,0.1251978161412344
2009-05,-0.02441845672429369
2009-04,0.17880537545003872
2009-03,0.3660227488942196
2009-02,0.14115931481392216
2009-01,-0.20689082838970219
