date,Top_stocks
2024-11,"20655,19008,23041,17141,15833,15433,17967,24247,19986,22323,21263,76711,20552,17358,91488,21025,88807,15542,91366,23669,23058,22602,22781,18458,19352,19180,81761,16393,19965,19956,21062,88810,23258,13707,23431,16400,23185,17871,24100"
2024-10,"19008,23041,15433,15833,22323,17141,21975,17358,88807,16104,15542,21025,20655,18458,19180,19986,76711,17967,91184,19179,21368,21757,24247,22602,22781,91488,22232,18836,16400,52231,20841,21263,86444,12497,20552,21416,19944,13707,19965"
2024-09,"23178,15833,19008,14535,15433,16005,17892,19986,21975,16104,22323,20841,17358,23041,15542,20655,91488,91184,76711,22781,86444,17141,20310,52231,18458,23267,92102,21757,18405,21263,22602,19179,21368,15286,18836,16400,14879,88471,17967"
2024-08,"19008,23178,20422,15833,14535,15433,19986,16005,14879,17892,91184,21975,17141,15542,13700,16108,22781,52231,16680,18405,19846,20655,92102,22323,18054,76711,20310,18458,21368,88471,86444,19180,90298,19179,20841,88807,22602,16400"
2024-07,"19008,16005,14879,15433,14535,12350,19986,21975,20310,15833,91184,15631,15542,16108,17358,17892,18405,18458,90298,86444,22781,19135,20655,21368,19180,20419,92102,19179,91822,22602,17141,88807,88471,18054,12497,22655,88511,19314"
2024-06,"16005,19008,23252,91184,19986,14535,14879,21975,15542,15631,16070,17892,18405,17358,19135,19249,20101,21939,88511,86444,16108,20310,21368,18151,20655,18217,90298,22602,19180,92102,91822,52231,19862,22781,18458,15433,22329,29744"
2024-05,"19008,16005,91184,12350,19986,14535,23252,17892,16070,19956,19846,19249,15542,13202,17690,21975,15631,19135,18901,18217,18405,19180,21829,21939,20310,14545,21757,90298,14790,19179,86444,17358,91822,20655,18458,92102,19314,14060"
2024-04,"19008,16005,19592,91184,19986,12350,16818,14535,16070,19249,19135,17892,91822,13202,21975,18458,21757,15631,19846,15058,19956,15542,21939,21829,21336,18901,89935,20655,17690,19314,20101,20310,88511,20332,22602,22311,92102,90298"
2024-03,"19008,19592,16005,14535,91184,16818,12350,18901,93337,16070,17690,17892,15058,13202,89935,21829,19846,93237,90298,91822,92102,21336,22311,88511,19314,20655,88620,19986,21939,19833,21757,20101,22185,20332,19135,20310,15542,81165"
2024-02,"91184,19592,16818,16005,12350,93337,15287,14535,19846,22602,17690,89935,16070,17892,21336,18901,88511,17877,21829,91822,22185,19314,15631,15058,92102,92380,22238,21931,20334,20101,13202,19249,23252,15542,15382,90298,20567"
2024-01,"16818,19592,20332,15287,15417,91184,16005,93337,16070,90170,21931,17892,18901,88511,89935,18897,17266,17877,15542,22209,17690,20975,15631,91822,21336,19314,13202,21889,21829,15058,21757,21416,92380,90483,19249,22286,88471"
