date,Bottom_stocks
2024-11,"91068,23062,19584,24829,23255,15417,20882,21518,19542,23515,24711,24514,22539,23872,93002,23032,14720,86580,21720,24251,22223,24092,24957,19978,15540,24961,86211,17360,24691,15904,14934,16818,23120,79686,23198,24287,17906,23057,14257"
2024-10,"91068,23062,19584,12350,21518,86211,20290,24278,21720,23032,24092,93002,22539,21023,86580,85526,20638,22669,16877,21910,23198,24700,23629,17898,22772,22327,19542,18915,13202,19356,24691,19021,17360,15540,14257,22662,23792,24938,14497"
2024-09,"91068,19980,21518,23232,24278,23032,22626,19192,93002,16877,21086,14815,86580,21910,12350,20638,21034,21732,22772,22539,13202,14257,91428,18915,20575,20290,22688,20796,24287,23792,85526,19356,22538,23670,20294,22602,15062,21707,22676"
2024-08,"23815,91068,21518,22538,22886,24697,22626,14815,19021,18915,91428,24700,23670,22546,23267,23515,19192,16709,24278,86580,88174,23103,12360,20163,19846,21732,24466,93237,65541,23792,20620,21027,24510,13202,23669,89029,21707,88620"
2024-07,"23815,23227,22540,22886,22626,14815,21288,19021,20332,18915,88174,12360,21732,89244,24511,23670,23792,21832,16998,21086,21527,22772,23805,90971,65541,23352,18372,18215,79841,88518,24278,19657,19460,83916,24250,26201,24510,15489"
2024-06,"21276,24486,24114,25452,21288,19066,20332,23618,22626,14444,23804,22886,22540,23227,22888,23815,26201,23869,22882,15489,22885,12360,24466,16802,84184,14815,21034,21732,15664,13279,90971,16962,23792,89244,22341,23670,21091,65541"
2024-05,"23870,24114,24465,23999,23618,22882,22888,14444,22540,23997,21532,17979,23804,84184,21276,21018,22626,21833,21091,22341,22886,89244,24486,13700,15775,23113,16962,20863,15375,90971,22885,26201,21758,24261,92345,22615,83909,82281"
2024-04,"23870,23113,23997,17979,22888,21276,23618,22882,22186,21971,22540,23866,21273,14523,23804,15775,22886,91664,21876,21114,22256,16778,18558,21091,19483,22615,23999,20609,21833,22341,24250,15904,16962,23815,22332,23252,19460,89244"
2024-03,"21720,22256,19460,21019,23021,21114,21018,22272,21273,24094,21876,21536,23866,21971,22186,15775,14419,20813,24164,91664,20609,23102,15904,19483,20867,22615,22341,23872,21276,19653,22258,24077,90081,16998,23266,17250,24080,19682"
2024-02,"22256,19395,21876,15775,21971,23936,23021,21720,23266,21536,22272,24077,21018,21273,22255,91488,21019,90081,14419,20294,20607,24080,21091,16400,23678,91500,22909,16788,20867,22615,23191,20863,23775,20813,16903,19653,15396"
2024-01,"22256,23936,15775,90081,23021,21876,20607,19395,20640,19584,21536,20294,21971,68145,16377,22245,91500,19184,23273,18306,15833,22909,16188,15065,19476,15431,21019,20816,22615,15639,20884,23678,16903,19653,15396,21908,19483"
2023-12,"15833,23397,21062,20607,23058,21019,23936,21536,23868,22223,68145,21971,21052,23021,16377,16792,21764,19653,22908,91500,14647,21750,90081,15789,21786,93085,13707,22670,21908,22245,17041,23514,16188,17966,17349,21876,19584"
2023-11,"23199,23058,23777,17349,23868,13883,20607,22670,91500,20884,23678,13751,13707,16188,68145,14296,17272,20867,15789,23031,20436,90081,21750,19499,12527,21062,23244,23514,19077,16792,21931,22223,17263,13825,17966,23101"
2023-10,"19978,21698,23777,91500,17349,18413,82156,13883,68145,23031,16792,22255,83577,19636,14296,17109,22771,22223,17272,20884,18203,22603,21908,15789,13825,22596,20637,16739,92475,14468,21526,89824,19814,20437,16188,23775"
2023-09,"22782,91428,16792,19846,22347,90926,17349,20294,19568,16793,19986,13279,14422,19011,17901,17272,21908,17898,19460,17889,21844,12500,13278,23031,17117,90986,20439,13700,20637,13825,23117,17104,13455,88471,19488,16594"
2023-08,"15904,23109,22347,23007,18781,22782,20439,76461,13278,21835,13954,20437,19986,17349,19649,14422,19568,90926,18838,21844,17272,17251,12500,20150,14556,88937,16161,13279,23226,17117,23031,14991,19846,19460,22897,22667"
2023-07,"15904,21575,23252,18781,14444,22329,76461,13278,22667,23509,18402,17251,13954,21835,23226,90926,13279,18678,92252,21844,17907,21909,14422,16161,88937,20999,17117,22782,13798,19843,14682,20290,14273,88195,16393,22897,16793"
2023-06,"23252,21575,21913,18377,23226,21844,13954,15364,21114,76461,23428,92981,20999,88937,21044,22782,13798,20842,17117,12573,19947,18427,14245,21560,12928,19576,20280,17889,17272,19919,21593,77624,77437,10547,17907,20552"
