date,Top_stocks
2024-11,"20655,19008,23041,17141,15833,15433,17967,24247,19986,22323,21263,76711,20552,17358,91488,21025,88807,15542,91366,23669,23058,22602,22781,18458,19352,19180,81761,16393,19965,19956,21062,88810,23258,13707,23431,16400,23185,17871,24100,91742,93237,20310,14540,22232,23415,12497,20449,22655,86444,19142,21939,23939,19944,23128,15286,18306,19803,24162,21799,85293,22260,18840,23191,18151,82848,87589,21913,16108,13700,18836,23119,14535,18399,92986,23184,92468,12350,20285,22538"
2024-10,"19008,23041,15433,15833,22323,17141,21975,17358,88807,16104,15542,21025,20655,18458,19180,19986,76711,17967,91184,19179,21368,21757,24247,22602,22781,91488,22232,18836,16400,52231,20841,21263,86444,12497,20552,21416,19944,13707,19965,21062,91366,85377,20310,20332,18840,23128,22655,93237,16108,22801,82848,15286,17871,88810,92688,16681,15489,18217,92102,23669,22538,92130,19803,20285,90483,23431,18151,18399,24100,18306,20425,21513,22561,92986,23194,92468,21939,14535,21547"
2024-09,"23178,15833,19008,14535,15433,16005,17892,19986,21975,16104,22323,20841,17358,23041,15542,20655,91488,91184,76711,22781,86444,17141,20310,52231,18458,23267,92102,21757,18405,21263,22602,19179,21368,15286,18836,16400,14879,88471,17967,19180,88807,12497,22655,21288,21513,90298,16108,18399,21416,16594,18151,19487,18217,17871,12017,82848,21547,22232,23431,91366,23119,20552,29744,15058,88511,90483,18840,93237,22200,16533,14923,15510,88810,21062,20332,16255,20636,23184"
2024-08,"19008,23178,20422,15833,14535,15433,19986,16005,14879,17892,91184,21975,17141,15542,13700,16108,22781,52231,16680,18405,19846,20655,92102,22323,18054,76711,20310,18458,21368,88471,86444,19180,90298,19179,20841,88807,22602,16400,18217,91822,17358,12497,15286,19487,17967,21757,19314,92688,87583,21577,14424,21263,17871,21416,29744,22655,18399,20825,93237,22232,16255,91366,14923,18836,82848,23257,90483,22768,88511,21939,16594,23119,18151,15058,20801,92468,18840"
2024-07,"19008,16005,14879,15433,14535,12350,19986,21975,20310,15833,91184,15631,15542,16108,17358,17892,18405,18458,90298,86444,22781,19135,20655,21368,19180,20419,92102,19179,91822,22602,17141,88807,88471,18054,12497,22655,88511,19314,22232,29744,16400,15863,52231,19487,17366,18151,93237,21757,17967,15286,21939,20101,18217,82848,18399,14424,15058,87583,91366,18836,90483,23509,92688,16255,21829,23128,23057,20975,23194,16099,19592,15375,20882,17134,21416,12017,92468"
2024-06,"16005,19008,23252,91184,19986,14535,14879,21975,15542,15631,16070,17892,18405,17358,19135,19249,20101,21939,88511,86444,16108,20310,21368,18151,20655,18217,90298,22602,19180,92102,91822,52231,19862,22781,18458,15433,22329,29744,19338,19314,12497,19487,19179,15863,23057,21829,21757,16400,19140,90483,93237,22610,88471,23509,17366,13202,81165,17967,20567,92688,18054,22185,23194,15286,18306,18836,10253,82848,14424,12350,17141,15058,20975,16376,21736,16099"
2024-05,"19008,16005,91184,12350,19986,14535,23252,17892,16070,19956,19846,19249,15542,13202,17690,21975,15631,19135,18901,18217,18405,19180,21829,21939,20310,14545,21757,90298,14790,19179,86444,17358,91822,20655,18458,92102,19314,14060,16400,21368,19862,20332,52231,20101,22602,93237,12497,15058,16655,88511,21062,23194,29744,18427,16104,88471,19487,21289,16594,15863,16376,19338,16524,14424,22329,23057,18054,20567,91907,91366,81165,82848,14879,16473,92619,88620"
2024-04,"19008,16005,19592,91184,19986,12350,16818,14535,16070,19249,19135,17892,91822,13202,21975,18458,21757,15631,19846,15058,19956,15542,21939,21829,21336,18901,89935,20655,17690,19314,20101,20310,88511,20332,22602,22311,92102,90298,12497,20333,23252,81165,14424,52231,14545,19180,19487,19338,22347,14879,20825,86444,88620,14060,16473,20576,19179,88471,18054,91366,16400,93237,20600,22610,18405,22185,15645,90542,16524,82848,18644,10253,22603,22537,15863,16542"
2024-03,"19008,19592,16005,14535,91184,16818,12350,18901,93337,16070,17690,17892,15058,13202,89935,21829,19846,93237,90298,91822,92102,21336,22311,88511,19314,20655,88620,19986,21939,19833,21757,20101,22185,20332,19135,20310,15542,81165,19249,15382,18405,19487,22911,15631,20576,21416,20333,16524,15287,20334,52231,14545,19338,15863,19140,23252,10253,22238,20600,90542,76711,88471,19956,14424,22209,22537,14879,16473,15645,21889,91366,20567,19973,21975,92619,22347"
2024-02,"91184,19592,16818,16005,12350,93337,15287,14535,19846,22602,17690,89935,16070,17892,21336,18901,88511,17877,21829,91822,22185,19314,15631,15058,92102,92380,22238,21931,20334,20101,13202,19249,23252,15542,15382,90298,20567,20332,19135,19008,16765,21757,22311,81165,21288,52231,18997,20655,21416,17266,14791,20333,22537,17901,20310,88620,14145,16181,22209,21889,22538,91366,20600,19338,19140,88471,18372,14424,92521,16524,15863,19956,18405,14060,16542"
