date,Bottom_stocks
2024-11,"17948,25452,89244,18648,13954,18568,14828,18664,18562,14273,15059,14925,15046,15087,91068,80539,17315,17977,18663,16753,93434,15365,17678,15417,14296,19025,17262,18453,11636,88195,18137,15002,14466,57154,84788,85177,17906,79089,17672,84184,18997,19024,15493,15585,17044,17038,83916,18203,18845,90319,14542,16962,17978,18784,26201,18215,17109,86581,18253,89453,91571,18063,34367,19021,16670,14608,15373,90012,16788,17134,18051,90516,92775,16528,19502,15937,17362,84172,90682"
2024-10,"17948,16670,89244,18648,88174,17109,12350,18664,14826,13954,17672,15365,92981,14828,15087,18678,16753,17678,91068,18568,17977,80539,15046,14273,85390,17301,18663,14925,16393,17262,79089,85177,88195,18137,26201,14296,84788,18845,11636,57154,17978,89453,15585,17898,83916,84184,18215,16626,86581,18046,93434,17315,18784,90971,18363,17116,17044,18253,16877,17362,90319,14542,14608,18887,84176,14466,14615,18769,89952,16111,91571,17906,18897,15937,17272,14616,19502,25452,16788"
2024-09,"16670,18419,88174,17678,18556,18664,14826,13707,15365,91742,17301,14540,15087,17672,13954,18663,14828,91068,92981,15059,84184,16753,80539,17977,14615,14273,17978,18769,85390,18363,79089,93126,16393,18678,84788,57154,16626,18137,18215,18131,16877,91021,15046,26201,85177,18845,14296,17116,14466,17044,90319,14608,14542,18046,91672,17272,15779,44813,15373,15358,18047,11636,15585,14056,17809,89453,17832,16681,83916,18887,92775,17150,18783,18461,17362,18855,15135,15269"
2024-08,"88174,18419,91742,17678,18556,17977,80539,14540,15365,13954,13707,15087,84184,14826,18783,92981,14828,14273,18664,18845,18137,14466,91068,16753,18559,14615,18663,85390,57154,14239,18416,17978,18670,60599,85177,18769,14296,18131,15127,91488,16681,26201,15059,84788,18413,17272,14608,15779,18855,16975,18215,90971,17044,83916,15046,15269,92775,18784,79089,17251,14459,16922,18046,18047,16921,15373,16626,15585,18789,18453,14245,90319,12577,14542,91672,43553,17893"
2024-07,"13947,88174,14991,16998,80539,17977,93012,13954,18783,18670,17907,84184,15365,18663,18719,15087,14828,25452,14826,14466,15914,16975,18769,17038,15059,16964,89244,26201,13279,17871,14239,18137,84788,92981,57154,17251,14273,16922,16753,92775,18664,90081,18416,79089,90971,14615,60599,16626,85177,18559,91571,17044,14459,90223,18046,85390,18051,18215,15489,83916,15127,18089,14608,91672,18413,18047,17272,14296,15046,44813,13825,18784,90955,15779,43553,16992,17898"
2024-06,"18302,25452,14991,17115,13954,15087,80539,84184,91571,13279,93012,14239,17907,15489,17977,18664,15365,15364,14466,85390,79089,18663,18719,14828,13700,16753,16975,17871,16964,26201,17038,85177,57154,90971,84788,92981,18051,15059,15914,89244,18137,92986,14459,16992,16998,60599,16626,17044,18416,17251,92775,91672,18132,14615,16802,11636,85539,14273,18211,14608,17326,90081,14826,16921,18468,90319,17150,18453,14542,13825,43553,18461,16188,18047,14296,17908"
2024-05,"17979,16929,18302,80539,16778,17948,17115,17134,15365,17977,91571,15065,84184,14239,15433,13812,13954,13700,15087,17871,17105,92486,15364,79089,92981,90081,90971,89244,14459,14466,84788,16188,14615,18051,17038,18416,85390,18464,92345,92775,16753,17251,14828,85177,14608,17672,82281,90319,57154,11636,14542,91672,14616,18395,15269,60599,17150,18468,18132,14268,26201,17326,16992,18461,18137,15059,16921,17316,17044,92986,14676,43553,16739,16887,13621,16802"
2024-04,"16929,17979,80539,17977,15065,16778,17358,17134,17948,17115,15433,18416,17105,14610,15365,16104,17871,93347,13954,91571,15087,14459,13812,18399,14523,16626,18211,18217,17251,14466,90971,92486,16188,84788,17678,11636,18103,92775,17316,17038,84607,90319,92981,14542,18303,15857,14608,17832,90081,17044,18461,14828,60599,82281,17672,16753,85177,15269,14923,18468,14935,18292,14616,14676,13825,17091,17362,89244,17816,17966,57154,13621,91672,90516,15059,12577"
2024-03,"13947,16400,16788,17913,17977,17358,91571,17948,15065,17326,18377,17115,12497,14610,91277,13954,18151,16626,91488,15365,17678,17301,14459,93347,79089,17907,17871,18416,16188,11636,17251,17672,17316,60599,84788,18399,18217,14239,17809,92775,18195,18211,14466,15857,16146,57154,90971,18137,16753,14616,16877,18303,17966,17038,92981,16975,15087,13825,17832,93345,17362,90319,18292,16739,14542,17044,17980,17360,15779,14611,16998,16921,77437,34367,90679,15059"
2024-02,"16400,13947,15065,16788,17913,17977,18261,91488,12497,14459,91571,91277,88807,17326,88195,17115,79122,16626,17889,18306,11636,13954,18151,17678,17948,15365,18195,79089,84788,15779,18211,86444,14316,92775,17345,18137,17316,10253,17871,17251,17966,18292,13825,17301,60599,16739,90319,34367,14935,14542,14239,15087,15857,16188,17044,85757,17980,31668,16921,90679,17879,92981,15775,17360,57154,14828,18365,13621,91186,78002,17038,14611,16998,18303,88174"
