date,Bottom_stocks
2024-11,"19584,17948,22223,20412,19978,85757,18203,18568,16310,19644,19549,14273,18915,91068,19542,14720,21551,85526,25452,88518,21720,20331,20663,86581,17315,14934,93434,21761,19356,22258,77699,19893,15046,89244,18940,20181,21835,20187,17313,15358,18453,84788,17140,90319,14542,18648,87337,20280,15585,17262,15059,83916,19682,19021,12360,15272,18775,14245,21759,15775,21889,19025,17365,21912,19196,15540,19623,15087,21779,21560,17044,17869,22089,21516,14925,17895,19251,78875,20180"
2024-10,"19584,17948,18648,20638,20290,20412,19193,21913,88174,16670,19644,17109,12350,18203,19549,91068,19542,14273,19980,21712,85757,18915,20331,86581,18568,19935,21551,19331,21732,21720,89244,19352,21761,21562,17315,88518,18775,20187,17262,85526,19356,19682,15046,18940,12360,84788,19470,15358,83916,16393,15585,19623,17140,20442,82779,20280,90319,17869,14245,14542,18845,17313,21759,19463,15775,20776,15087,19021,17672,20181,17889,21560,19893,80539,87337,21889,17044,85390,89449"
2024-09,"20620,20638,20290,16681,88174,19193,16670,91068,19980,18915,19944,18203,19649,18940,21790,13707,21562,15358,88518,14273,19935,20280,21732,19814,20187,20776,19893,21025,17301,82779,84788,19682,19192,18419,19470,16393,18775,19356,19623,91742,21712,15087,90319,17869,14542,87043,19352,16626,15585,21686,12360,85757,19542,17672,18845,20181,19137,83885,14245,17044,18206,19463,89413,85526,14056,19555,19331,19629,83916,16753,15846,17678,18395,15961,81761,15046,15775,16877"
2024-08,"88174,20620,20552,16681,19193,19944,18915,88518,19657,18203,21286,19814,18940,91742,20280,91068,14273,15639,14245,20285,19649,18845,12360,15358,21025,19893,19682,21686,20187,19137,15046,18395,18783,83916,13707,84788,14239,19470,17678,19850,21586,18775,85526,17315,15585,87043,16753,19463,90319,14542,81761,18206,19555,19623,20776,15087,20623,82779,21732,15775,18419,15057,80054,19496,18559,19356,17038,19533,80539,21759,17313,14815,21379,18453,19196,19999,21589"
2024-07,"88174,15914,21263,16964,20552,19193,21288,20422,88518,25452,13947,17907,20285,18940,21286,19803,18915,19850,19657,18203,18845,20280,14991,19919,20841,19893,21110,21309,15358,17038,15431,14245,90081,89244,14273,21526,15639,18719,12360,84788,18783,19137,19623,19682,21379,20187,19025,19555,18395,15046,19470,91826,19463,15775,19629,83916,17349,13279,15489,18206,18775,15087,15961,21513,14239,15585,19533,17315,20663,14542,85526,83885,90319,82779,19999,12488,16753"
2024-06,"92986,25452,20422,21288,18302,21263,15914,19193,19623,15489,16964,19464,18940,19803,88518,82779,91571,14444,13700,16802,18203,13279,17038,20787,17907,19850,14239,89244,19555,20841,89301,14991,14245,19682,20280,19653,15087,20455,15639,16753,84788,15775,79089,19463,15358,18775,18719,19778,19893,15789,12360,90081,18783,16188,20341,83916,14273,19137,20663,44813,18206,19398,14542,90319,18769,15046,20187,18453,19919,20816,20733,89449,26201,17313,85390,15365"
2024-05,"17979,20425,17948,17134,18302,92986,82779,19464,19623,18395,16778,20455,19193,14444,88518,19653,13700,20187,18830,91571,18203,18940,18206,20787,80539,76963,90081,19682,19808,15639,19463,15775,84788,92252,15186,16802,16188,12699,19555,20816,16310,15375,16929,18783,17038,82281,15087,14542,19576,90319,15358,19137,19778,15365,89244,20846,19398,19400,20280,19197,15961,18775,16753,19251,89301,15789,18769,18051,19893,79089,44813,76461,14239,90971,89449,17313"
2024-04,"77624,17134,18558,17979,17948,18780,20425,19778,16778,82779,20578,91571,19197,80539,19850,18648,20187,19193,18830,19623,14610,88518,18940,20112,14523,19137,15775,12699,19025,15065,16188,18206,20816,19463,18203,20280,20641,76461,19682,18416,84788,19653,20630,15639,15365,15087,18783,20776,16929,15433,20644,17038,15186,90319,20846,14542,15358,82281,19939,18836,91664,19400,17349,90081,89301,17315,19555,19948,14923,17977,84607,17313,19470,18784,15057,20609"
2024-03,"16146,18780,77624,17948,20194,18558,82779,91571,19778,15639,19193,19197,18203,18458,91488,13947,19025,20112,20187,20280,18151,90907,18648,17360,18840,20578,29744,19623,15065,19850,17907,17038,14610,18783,19400,14419,16712,19463,18940,12699,19682,18206,19533,16964,15365,16788,15132,20630,84788,19137,20641,15775,19681,19470,18416,19476,18836,14316,19251,19555,19939,16188,20572,17315,19847,19398,17913,17349,19653,20644,17358,15358,17313,77202,17326,14536"
2024-02,"14720,88807,15065,91488,17948,82779,91571,18203,18840,18648,16310,10253,18458,15639,13947,20187,19193,17038,19814,16400,88195,86444,14245,18940,19939,19657,18151,20294,19850,16712,19463,19623,84788,57913,19395,20163,18206,15775,17360,48072,19985,89301,17966,19251,18783,18261,16964,17913,20280,14316,19391,19137,19533,15431,88174,14790,77202,19401,20169,16788,19476,20238,17349,19681,15365,19398,18306,19847,17313,88994,16188,91277,15358,87337,17980"
