date,Bottom_stocks
2024-11,"23062,19584,23012,22662,23255,19549,15417,91068,22669,22284,16962,23872,19978,24465,24477,24285,22223,23120,22886,15904,23515,21276,23252,21833,14934,17109,89244,23804,22539,21018,24278,15540,22546,23869,22256,19021,21023,23032,23670,18568,21551,22888,20412,23776,25452,12928,23329,21518,22626,23857,22341,16793,93002,18915,93263,88372,21091,21273,20882,20893,15436,24092,19356,15493,15775,14273,17365,87344,24251,19542,16164,17315,20663,90971,22688,79686,22645,12360,19814,93434,80054,21759,84184,21628,17978,18453,19840,83916,78875,24270,79573,89413,86580,18368,15272,16818,23056,18215,20331,23658,91082,15059,77191,20180,24172,20130,17251,23792,86916,21325,18063,18410,19004,16709,23198,14497,19140,89824,23849,17948,21758,77699,20848,18253,65541,21732,21512,20181,21889,22258,15186,17262,22551,20347,22089,22610,18775,85285,22327,24075,21931,23795,23861,19851,23352,17672,87337,23439,14828,86165,15046,84172,16086,23867,17140,17906,26201,86211,21589,24422,23660,83909,19073,79249,84176,16250,22562,91359,79280,23625,89935,23858,12680,92683,22344,20867,19502,14328,20816,19314,19082,79702,23884,23199,23663,18562,20681,13706,93264,92665,21843,91161,23430,90314,20638,17869,21343,20471,21533,22684,13202,20721,21720,18958,16536,23617,23874,24279,23725,22689,23796,89952,20149,16894,85399,19563,65700,55976,19470,14596,21957,90516,82179,21959,13527,23777,17984,14097,10044,15937,84828,18580,20438,90533,22916,88391,22629,53197,19065,77037,21341,24016,18048,91278,14609,12583,22797,83145,20277,11511,83391,90012,15642,14773,13124,21707,68866,82555,13935,89891,14694,21909,18968,23791,22693,19822,89453,85272,79841,78988,92557,89505,14822,19623,15585,10443,20308,12788,21686,89215,20307,92471,85013,22224,85390,20439,11144,17357,21353,91379,22207,86290,17116,90986,19084,88485,21105,85502,89167,60943,79791,20305,19893,22566,17250,24115,18322,23723,21676,19496,17104,12786,77515,18663,92143,16528,23432,88742,21056,17155,79857,20920,91348,21326,22169,21942,21122,23031,16392,86080,20553,88839,17362,23943,18405,17956,20801,39490,17266,21328,19400,20796,20336,18396,19233,24473,11174,23806,19746,22934,21230,41452,22239,13399,14257,12629,20276,81481,76732,88897,21265,18735,20728,15395,21564,20207,19937,21895,18908,21526,22329,90682,79237,59328,21835,92589,89394,19574,93004,84348,81084,88518,93083,13730,23666,91305,20573,19128,76127,80759,80955,21600,14467,19575,21527,29102,16543,83272,75573"
2024-10,"20638,19584,22662,23857,23062,23012,19549,91068,17109,16164,22669,21276,20290,22256,22886,89244,20813,21018,16962,23670,23120,18568,23252,20412,23804,15904,23618,21910,24092,21551,15540,22626,22539,19021,22186,23815,21023,22676,23032,19331,21712,21518,21732,17250,24278,23329,18915,12360,23629,22546,15775,19356,19935,21876,17672,22615,87344,22209,24172,15272,24251,22888,17978,90971,21091,83916,93002,22327,21325,22341,20331,85390,20442,24291,93263,17365,23352,18215,20893,22645,18775,17315,15186,23198,19491,14273,16670,22523,80054,19470,93434,87337,16086,13455,19682,78875,19569,22767,89413,22089,21931,23806,88372,86580,91082,15396,23795,21273,20848,19073,24164,19140,92981,16709,20347,20181,23792,19851,18253,13202,18396,90012,21720,86165,17948,18580,17262,89952,88174,23663,21909,13700,15046,18063,22667,20439,24270,18046,21959,20796,65541,85272,14497,23658,21343,18410,21759,23439,84184,23867,24078,22344,12680,22551,20600,84176,26201,19082,19004,92665,17361,16818,17869,18368,92683,15585,21628,22629,10044,17140,83909,21540,20816,23725,20721,85502,14822,86211,79249,19113,91359,22258,65700,14694,14097,23199,14828,19496,15846,24261,18958,24094,16111,89891,19502,79280,84172,23858,86916,86581,21111,21843,16250,19314,21019,83885,20681,89453,21562,78664,21265,19615,89175,89935,15268,17270,23432,20567,20471,17266,21707,19195,17362,19232,21686,17116,21676,53197,41452,18663,19623,85686,13706,23195,79841,23430,19846,21889,21533,47723,20573,14609,90314,13527,23874,21105,91161,77037,21837,85013,19400,12350,23978,16393,20277,15087,15937,79791,19822,21799,17155,20553,55976,19542,21260,85526,21758,23033,79573,18845,23884,60943,80276,76127,86745,84372,82555,14596,11511,19084,17889,81010,23056,12786,21589,33823,19065,12583,92589,23796,91673,91607,13935,20438,85285,91278,14056,19794,90533,21536,22693,90751,11144,93264,23784,15787,80191,91348,88518,22174,82179,19574,21027,17115,19937,16877,18772,21913,23204,19563,21957,24016,83671,79866,19564,91659,21955,21016,79089,18896,10443,22329,24290,75854,78988,23814,19233,93083,20276,68866,20867,17984,83391,15127,18514,88391,18856,21328,16753,18908,91283,16392,92596,21122,12629,92471,86080,88485,86092,86290,14467,15395,20876,91379,79237,21056,76591,85424,23997,83148,23617,92143,22265,90516,19500,23734,89986,23613,21895,21891,27562,22169,20305,23147,19575,88626,17974,12890,12788,14336,14616,21230,15642,90856,21754"
2024-09,"20638,91068,19649,23857,20620,22256,19192,23670,23232,22626,22523,20575,24079,20290,23618,21833,24164,21518,18915,19814,21732,21276,22688,23032,22186,23235,23252,22676,19356,22341,20867,19021,17250,21876,22886,21910,93002,15272,15775,17978,12360,12680,84184,21034,22767,22539,14815,24051,21712,21019,23804,16393,23815,21971,14467,20442,23792,23775,17672,22667,23195,19569,21325,22615,19682,18775,81761,23874,86580,93263,16086,23352,19470,17869,21091,93126,65541,17365,15396,89413,88372,80054,21289,21759,23806,23678,19331,91082,13202,88518,83916,21536,21909,22888,22174,24078,19629,19935,16670,88174,22645,15059,89891,87337,18556,85390,75033,18215,20181,90971,19496,21562,15186,16709,15846,20628,21086,26201,14158,22546,23998,20796,92981,21027,20347,12877,14273,24094,90012,18580,15961,19555,21686,14822,21959,79841,21533,20816,22782,20573,17361,85272,21273,23617,86916,15540,83909,10044,14540,17115,79249,22169,19491,22348,20893,53197,65700,21707,78875,18908,21343,14611,92683,21913,20307,21676,23867,17251,23978,20439,22551,21891,15585,14694,91742,55976,19623,21628,19851,13527,14328,23432,85686,83885,23199,22089,21260,18046,22266,89394,19084,86745,91359,17266,21931,13707,18958,86165,13706,89952,19794,22295,12579,92230,92130,19113,79280,75754,23725,23658,19615,18461,18410,17378,19082,86489,13863,18896,23796,21105,15127,15379,60943,80274,19502,84172,19937,80191,85502,79791,19564,92521,19400,17678,21016,76591,90856,21323,84372,41452,18855,14097,18063,22260,16824,80276,80089,17974,18856,18075,77037,17270,84176,21527,18845,15046,18363,19838,19065,17315,92665,19004,23127,14056,21750,91673,23789,21230,85526,89110,15664,20607,23033,86822,19822,16877,24009,21957,21341,14647,10443,20425,21600,17301,21122,14609,23081,23880,88626,18910,19070,20681,23858,92753,18663,19232,23663,18772,15203,22298,23272,21843,89453,20599,82555,22149,21589,86290,75854,22238,79866,21684,88863,14828,21695,21942,88391,91672,22538,18419,21025,17155,16250,12699,27562,20471,86728,18940,83910,18645,72119,14826,33823,92172,16343,23669,15636,22085,14579,20430,23884,79089,91161,86080,21895,88485,22566,15837,92471,23204,23187,17825,78664,88779,12786,81010,22344,82179,21758,79299,12583,18047,23102,21564,92596,23873,21889,89505,17357,16537,82272,90533,91283,23439,90314,91607,21228,21265,20309,81044,16392,20276,20207,14616,83272,18148,19022,93289,21125,92589"
2024-08,"21025,91068,22256,24077,23775,20620,21832,20623,21876,22186,22200,22626,19814,21532,23670,21518,22540,18915,12360,21971,15272,14467,20552,14815,15775,24079,23618,88174,21732,19021,23515,22174,19657,81761,19192,24000,21833,20180,19356,88518,22341,19965,17250,21276,79841,23235,20867,23352,83916,18775,23195,84184,23874,87337,22615,21758,21325,23815,22266,21091,19470,24051,19483,21536,17365,22546,92230,91742,15127,19808,18453,21027,16962,17978,22688,16086,18075,19555,85272,80054,16709,24078,23678,85686,91500,65541,21759,90971,85526,23804,21707,91082,21019,18845,20181,15057,21589,19496,14540,89891,20347,21686,21309,23998,19682,22888,20573,23792,85390,14468,22272,22298,88372,86580,15396,22886,90170,21676,13202,18215,23806,89952,14239,14452,17869,90012,17361,20721,21909,92981,13707,22676,21105,20430,26201,13706,20607,53197,21959,18908,89413,83909,18855,23715,14273,14828,23673,15540,84176,21286,20816,18046,20796,14158,21695,19533,23127,15585,23725,20187,15639,17251,21273,21034,17678,14822,15046,20130,21016,23432,20893,75033,20196,23231,78875,86489,14694,86916,18940,79791,22295,19615,23716,78664,92130,20884,92665,91359,18556,19794,19400,15664,84172,89394,19491,15059,76128,86165,79249,21323,21931,23796,18461,23199,92683,19623,12877,75754,19893,20307,19599,19200,21750,10044,22906,88626,23617,87043,76591,89387,17378,14609,20276,20628,22149,19838,14579,21074,21628,22089,22313,19022,60943,21289,19944,93263,22169,18206,13863,91283,21541,16999,18580,16829,18553,19502,21586,21847,91659,15379,14647,91607,18663,57154,84348,90856,19113,20662,89935,17115,17146,19149,19564,19084,20277,18063,77037,19999,22085,79866,18048,55976,17266,88485,18896,17974,91814,21949,17313,23088,89110,18769,15506,20567,14097,22551,17876,14466,13959,88863,92753,18856,23658,79280,22178,16250,18897,23272,22645,21942,91161,16998,21889,78091,80191,14591,27562,17812,19979,17272,15365,24009,18789,20681,20280,14855,20285,84372,19232,14615,18410,21891,15295,20920,81010,20341,17799,23029,23252,21554,23510,90314,85013,23426,85177,88779,18137,18958,16824,83910,21600,21341,23884,14296,11144,82555,23031,83272,89215,23858,14440,23102,19082,21122,20297,23187,18910,22238,77157,22265,86745,20609,17825,23880,14616,93380,90533,15395,16712,86290,83148,22909,21125,22689,20436,20342,16818,85744,14924,92213,17875,68145,17367,10158,18783,16921,10443"
2024-07,"23227,20623,16998,21832,22200,22626,21876,23670,21971,13279,22540,15775,23618,91664,14467,18915,14815,12360,22615,21732,23101,25452,90081,20552,22888,22256,21276,14452,88174,20867,79841,21823,24000,19653,19483,19803,23617,16962,15272,85686,83916,21833,22266,23352,20884,23874,91500,15396,21758,22341,19657,88518,15431,18775,21110,90971,19021,23804,20607,21532,16964,21086,15914,17250,21325,15664,17974,22782,21105,22771,21019,19919,18215,22886,14828,16086,18453,23815,21908,17361,22272,65541,89244,15127,21091,18845,14468,14239,19555,83885,15186,17869,20181,23199,23673,20816,17349,26201,13947,21589,91826,14822,85272,80054,88372,22688,22289,19682,21016,22676,15645,21759,75033,84176,23715,22174,13706,20347,17365,90012,23678,22255,15177,21536,19470,20307,18719,23806,87337,17115,85744,20609,89891,19491,92981,21847,21052,22689,17263,22797,22089,88626,14991,53197,86916,21750,78664,15961,15489,20893,91359,14694,15046,17907,77515,22169,19623,21676,20285,79791,83909,20553,19011,93012,89413,85013,21959,89387,89952,17122,92665,21273,21909,20430,19999,90955,60943,85526,68145,83910,20573,20154,79280,18908,84172,18772,22909,19232,15379,91082,23252,84348,20130,89175,92683,18075,19070,22245,55976,19032,19794,19356,91659,20187,23029,20342,15059,22546,86822,14097,21323,17104,19200,14273,80276,14466,19533,22149,20341,89935,21541,23792,23939,21263,23088,17251,21942,23432,89110,22295,15585,22085,19084,16650,16533,15639,12629,21527,19629,14591,18856,14579,89986,17876,14172,90856,91814,19149,19850,14647,16824,18203,23725,78875,20277,16999,93083,19400,89394,22906,79089,20920,23871,23796,91901,20652,23884,18940,91278,77037,16250,20126,23244,19838,22178,18051,21286,21949,21027,18132,20721,92753,14440,12615,21891,19405,88863,15295,23081,92596,19489,11144,18514,90314,81010,17799,88485,15662,14615,21737,18580,23867,20780,20566,15776,23880,90885,17875,22344,44813,14708,18137,20280,19249,86745,91607,17378,20297,19501,16186,20658,37381,18896,89215,21875,18769,82272,18410,21554,18206,21074,75754,85502,14826,16829,17313,17984,18212,15540,13260,18063,21600,92589,84372,10044,27562,21931,16064,18048,21685,19496,86165,18663,21628,80791,85390,16188,21034,15789,18789,19500,10443,13202,91161,76591,83577,93263,57154,15525,13751,83272,18727,89167,22291,13863,18670,19647,91348,92172,22557,18089,22645,21724,19082,23856,14855"
2024-06,"14444,23869,25452,13279,20640,22626,23227,23185,21876,21971,22256,23618,23670,19066,14467,21276,19653,92345,22885,19483,12360,19803,85686,16998,17349,15219,20884,90081,21760,15664,15775,21823,15489,22888,16802,18302,22540,88626,26201,20867,21536,15789,23804,15914,21732,21052,22882,13700,23031,91500,23806,22342,21908,20341,14815,22615,22771,16962,21841,20816,15272,21091,88518,22174,15396,21034,14239,18453,18775,18894,91571,91359,23617,21325,89891,79841,14466,83916,23874,22266,21786,92986,65541,17869,15510,15662,91664,90971,23352,19555,21758,17250,16964,15364,22341,22689,19623,22272,15186,90012,21759,88372,17272,22289,20607,23199,89244,90986,20893,20147,87337,14828,22908,53197,16887,14452,19464,16086,19491,21750,19636,68145,17365,21676,16188,13706,23101,21833,14440,83885,21847,21027,19032,86916,21922,18915,22676,89986,15375,17115,89387,19919,84275,17974,19682,20422,20455,90170,15784,80054,23678,84172,15177,85539,84348,23432,20347,85272,83909,15961,89110,20575,22879,15379,22255,21086,14296,21541,22224,17313,93012,18769,23796,20307,21263,21959,22245,79089,23871,15046,19021,23867,23244,91607,21589,21105,14818,89952,22688,15776,14822,89935,17266,20181,55976,22897,20301,19076,78664,91082,21628,92665,13751,14694,19937,14647,22193,18132,22906,21019,18663,22546,18719,17122,80276,16792,17146,21074,19356,19149,13260,19492,92981,18940,22886,91021,85570,22169,19470,15645,79791,14097,15639,85744,21949,19082,18772,21947,15382,13959,14991,13863,23088,16463,22089,21931,90955,18963,89301,71985,85390,21586,88173,19070,89413,16697,77437,23674,17361,20452,16999,33209,18410,17262,20632,76591,20277,16824,84176,92683,15059,21685,23880,85205,10158,16938,12629,80791,12266,21343,72119,57154,17043,80306,22238,18215,23204,80167,17367,19647,16250,88485,21554,93085,18727,77090,15960,17125,17825,16290,22149,92596,82670,17104,22566,21942,84372,19234,20438,86745,37381,89824,16805,78091,18137,16781,20647,19500,20439,15582,22344,22557,90856,83390,23179,82779,20573,20553,13796,23029,18203,65008,85177,16533,20276,86822,18896,86080,23081,19485,83272,85013,22679,18553,22934,15585,20436,17875,18789,18958,17372,14708,19851,18908,91659,17876,77447,14705,11547,18051,78875,19822,89965,20193,20658,79280,20187,23187,92917,18212,19166,92521,15937,93263,23737,14924,83382,93083,23128,19193,51530,16829"
2024-05,"23870,17979,23199,14444,20425,90081,21532,21823,92345,23618,22882,22626,21876,22888,22540,21018,22885,19584,19653,19808,23185,13700,22232,17349,15065,15775,22256,14467,16778,19483,22342,21091,21758,21536,23128,91500,23109,15375,15396,23031,18830,21833,21276,20607,68145,18894,20436,20867,13751,22174,21580,22341,82156,20884,16802,89244,90971,88518,20341,21325,19464,16188,21931,18302,15789,22266,15433,15272,22615,21841,92252,20893,21908,23427,20816,23113,88485,21732,20455,14239,23670,65541,14466,15364,17250,22089,21786,16962,23244,20863,23352,18464,18775,22596,91571,88626,23789,17672,79841,17948,82281,53197,18643,21847,15186,17869,21541,79089,83916,16929,83909,90012,21379,17115,16697,22897,18453,22258,19636,15059,26201,22909,19470,17365,23678,91826,14647,21759,21676,22289,21074,84172,22908,88372,92986,12360,14818,85539,89387,23184,14440,19492,16179,15382,22169,89824,19682,21787,12266,22676,21959,86916,87337,14828,87583,20575,13959,20181,85390,21019,92665,22689,90986,23088,55976,23617,89891,14676,13812,17272,19032,23204,19555,19623,23804,92596,22886,18051,80054,14273,84275,23226,17313,79026,21628,21922,80276,18132,20553,15793,17361,21520,21875,72119,19113,83577,20439,17262,80167,57154,18410,14924,23806,89413,79791,18769,18206,19128,86080,15961,16938,86290,23796,84176,14668,13260,16086,14097,13706,22934,14296,20307,21750,22879,92917,89952,89110,92987,18940,78664,83390,21324,21947,17974,13825,23658,18663,15046,19021,71985,15365,13046,23674,14609,21685,85272,33209,20632,23815,23187,76226,16824,21027,93380,23432,17122,23783,91359,18727,90170,20342,19166,84348,19919,92981,21949,14616,14694,20658,18395,13796,19491,13783,14268,12699,19485,13967,11275,91607,91673,23081,19400,16463,20641,21105,76591,22546,23415,16805,20347,92050,19065,21066,72304,21228,19011,82526,21764,78091,19076,16108,14452,23029,16786,17346,76461,89965,18215,88284,18910,22224,15395,22272,20780,23725,17876,22245,15379,17351,18772,22291,19551,84372,30509,77447,23179,51530,20187,15585,21230,83272,14607,23515,18768,16989,18896,10158,17251,23510,81741,17966,77505,22557,17266,21606,20566,15639,23867,89453,14705,19811,52396,91379,20301,60943,20410,93085,14551,23871,80791,66852,18958,18789,20325,19937,68866,85744,19082,19193,14608,14459,90533,82587,48072,80563,82670,21572,15936,16603,19502,18915,23613,91689"
2024-04,"17979,93347,23113,20425,82156,22888,23618,21823,15065,90081,22882,21971,91664,14610,92252,22540,23777,21876,16778,19483,23021,22232,21536,15775,21273,19584,77624,18558,15433,17349,19653,14523,23226,23109,21276,91500,68145,20867,20609,23783,15396,22256,16188,22174,15272,14467,16179,22258,17250,22615,22523,23031,23725,18775,21325,21833,18830,22908,19470,65541,23515,15789,22266,22341,88518,20893,21758,90971,23670,20181,22272,21580,17869,21114,21091,22332,83577,83909,14466,23775,22596,20341,89387,23678,21379,14316,87337,22886,18643,23415,90012,91571,23427,21908,84172,22169,19400,21847,21520,82281,19636,21685,17948,16929,15059,89824,22897,20780,14440,22638,21228,20325,20112,21676,23664,17365,79841,21074,13825,22689,19197,22909,80791,13812,17672,16962,14647,84607,17313,18453,86290,19492,17361,22797,23352,22089,16697,21959,23216,91689,15382,23510,19011,14676,78664,80054,21360,23423,19682,20644,20439,17251,15365,16712,66852,79791,55976,23029,18940,89965,78875,16104,15046,23731,80276,21759,17272,23088,15186,14818,12266,21786,23796,22289,17346,20816,14097,83390,20863,15793,72119,14609,10158,18663,20641,23804,84176,19162,13046,90170,21949,86916,18553,17949,87583,23674,23244,16805,18206,89110,23187,19113,14296,71985,23184,21066,14616,20342,15417,23789,21324,76963,21787,21764,19166,17978,20575,14694,18769,21922,19021,21056,92596,13828,21019,83916,92987,20307,20187,90976,18727,23617,19919,20658,79026,75649,16824,91826,12360,22934,19128,85390,12699,20662,16086,15383,19032,23199,78091,53197,17974,92521,23806,72304,11144,19623,90986,15961,21230,21875,76226,13783,14607,13260,21368,11275,22676,65008,21931,21947,20410,18910,83272,17362,22879,20553,91379,22245,13796,76591,14828,18994,18410,92050,23081,15057,19193,20204,14655,18132,13959,86728,76461,14924,89453,85272,16108,82587,88372,18780,91607,93380,18915,90179,14459,30509,14611,21105,19433,23108,14668,21684,14682,48072,26201,14661,22566,86489,22295,17134,21281,33209,90516,14273,23195,88203,19149,20059,93289,17984,68866,89217,15286,51530,22313,32651,23179,81741,18783,13956,20347,85013,82555,21027,18399,80089,20630,23204,13706,88284,22781,85285,22763,10463,18217,18425,84348,10066,90716,79039,91082,14132,17262,13967,22976,27562,15585,80167,19476,85738,22995,20471,15072,85205,21556,17200,21052,23439,14268,84275,22369,90533,82526"
2024-03,"93347,14610,22256,23266,22272,16788,16146,14419,90081,23102,15065,15775,77624,91664,21720,17349,23731,21971,20607,21536,21019,21018,19653,91571,23021,22328,21876,23191,14467,21273,17360,19483,20609,88626,20572,22638,17869,21759,23510,22258,15789,22313,17250,20884,91500,14611,22266,12928,13947,23415,21114,15396,20813,20867,15272,22897,19470,18775,21276,23031,17948,68145,22615,22341,22689,14536,22193,20341,20181,16712,16188,17672,21325,15639,19682,18780,14316,90976,13825,17251,22908,21833,19584,22801,86489,22174,17313,14466,79089,20439,18558,18643,20893,22181,20325,21786,22540,21758,22596,29744,21368,87337,91488,18453,21676,19257,16964,23187,21379,23725,21074,19492,19197,16400,23678,17966,15059,21931,14239,21875,22909,16998,17978,23674,90012,90971,77202,20816,17372,20662,90907,18458,17907,89387,21908,23216,16697,23427,22295,22786,17361,13954,20644,14818,19113,15365,16104,17974,60599,80791,77699,21066,19919,19184,88208,72119,23664,83577,84275,19533,18399,18845,79791,21230,78091,57154,20863,92594,17272,22245,17117,91277,17825,21764,23432,17326,23244,16463,14616,23423,20059,26201,16962,17365,10547,15186,14440,15902,20553,20307,18553,21787,89824,75649,23195,20294,15961,12266,19193,20641,19032,23064,20891,19623,16099,71985,18994,18206,20187,86290,65008,53197,13260,87053,12699,14609,91826,18769,79841,23108,18940,82779,16820,61487,17362,21360,76963,31668,13959,19166,21685,20112,16781,18727,78875,21016,17358,85526,23514,92521,20169,22676,18783,85272,19076,80276,20301,16086,80191,17684,19433,14459,77437,20721,18151,13863,21949,89965,22626,89217,19128,90313,14647,21599,17913,82649,10158,84172,22679,18402,92987,18410,20342,13046,66852,17346,22797,16145,91379,79663,19476,18772,23623,90179,21935,14296,21281,79039,20637,16773,18377,20204,21686,80054,79490,18773,14268,78664,22669,20658,20437,83390,79026,83272,13323,93380,23113,17200,90986,11275,42286,90170,18955,14551,88518,21228,92981,22078,21595,90679,18132,72304,83916,19555,18663,15417,14655,16971,14797,13706,88779,15664,19632,20632,14661,19065,18303,17266,14607,91689,21324,22934,21563,23717,20194,19488,22169,15383,92917,23204,16626,53074,22763,20794,19011,16792,17949,76934,20630,11144,16739,15046,23029,16044,14682,21922,81741,13796,19937,85390,18725,15848,19644,86916,77447,22879,14097,20347,17964,13956,15132,22281"
2024-02,"15065,21720,23266,22255,22256,15775,22272,16788,16400,91488,14419,23191,90081,17349,21971,16310,23021,14468,23678,20607,93237,17889,20584,22897,20439,88195,17360,17869,15789,21273,21018,18306,21536,13825,15639,21019,14611,91500,91571,20572,88807,19653,19184,17251,14720,22909,21876,17272,16712,17330,13947,17905,15396,19395,23244,14536,23415,19483,22193,14459,22266,17361,18261,20867,22615,19814,17313,23216,17250,21786,22313,20863,90976,14467,23664,19470,15431,79089,16145,20884,21736,16998,14316,87337,12928,23267,20341,20181,22334,68145,17966,19476,18775,18402,89029,15272,88174,18840,21379,18643,23623,22174,17974,23510,19492,86444,20813,19257,20325,22596,15961,22689,22245,18458,19193,23031,16188,14466,92594,29744,23187,19391,22341,19584,15848,20147,17672,14239,20662,91277,17684,19032,21787,21759,18845,18377,50286,16962,60599,16626,31668,21935,77202,90012,22662,16697,16792,20553,15365,23666,86290,90679,21758,18955,71985,22786,17948,12573,21074,20637,17913,90313,13278,76963,19657,22626,18203,23064,19682,21908,17964,89387,19488,21750,20169,21833,65008,20301,80791,20437,84275,22295,17372,19985,16773,19623,15059,19533,19919,88518,17326,20294,78002,15186,20238,78915,89217,14440,13828,21949,23195,16824,82848,19011,18206,10547,18553,86051,13260,23204,89824,16820,12266,21325,79039,23625,72119,18137,55862,19113,17825,17345,80276,14818,15361,20593,83916,20187,13863,20641,88208,86489,21281,14497,21016,20891,20842,18773,23117,91604,92172,17117,77699,23617,82779,19980,22908,72304,57154,16964,16247,83577,21922,75649,19937,19832,21029,20059,21764,21686,86728,14609,19128,84172,82215,21066,18663,18151,29102,16781,21676,14551,20816,91826,78091,19180,23674,92987,79122,21685,13954,18940,12497,14268,18772,14296,19166,53197,13046,81741,21124,85285,23198,16739,14616,19947,19568,21563,22078,19489,21324,15087,14655,11144,88240,19137,17346,12699,20342,14828,22781,18303,16603,20204,15540,10158,22688,21909,17898,21761,22320,23320,91379,22422,22676,22679,93345,22659,22797,23088,13959,22566,21276,23432,13783,18453,85526,51530,22627,22583,15840,18132,16971,19632,85390,92917,19501,83390,80191,77447,19485,76934,23426,19850,20410,10253,15793,19560,90533,18727,21230,21939,77437,82642,18785,91416,18769,16793,15072,23057,19982,19831,57913,14272,26201,21599,80167,84176,17365"
