date,Bottom_stocks
2024-11,"23062,19584,23012,22662,23255,19549,15417,91068,22669,22284,16962,23872,19978,24465,24477,24285,22223,23120,22886,15904,23515,21276,23252,21833,14934,17109,89244,23804,22539,21018,24278,15540,22546,23869,22256,19021,21023,23032,23670"
2024-10,"20638,19584,22662,23857,23062,23012,19549,91068,17109,16164,22669,21276,20290,22256,22886,89244,20813,21018,16962,23670,23120,18568,23252,20412,23804,15904,23618,21910,24092,21551,15540,22626,22539,19021,22186,23815,21023,22676,23032"
2024-09,"20638,91068,19649,23857,20620,22256,19192,23670,23232,22626,22523,20575,24079,20290,23618,21833,24164,21518,18915,19814,21732,21276,22688,23032,22186,23235,23252,22676,19356,22341,20867,19021,17250,21876,22886,21910,93002,15272,15775"
2024-08,"21025,91068,22256,24077,23775,20620,21832,20623,21876,22186,22200,22626,19814,21532,23670,21518,22540,18915,12360,21971,15272,14467,20552,14815,15775,24079,23618,88174,21732,19021,23515,22174,19657,81761,19192,24000,21833,20180"
2024-07,"23227,20623,16998,21832,22200,22626,21876,23670,21971,13279,22540,15775,23618,91664,14467,18915,14815,12360,22615,21732,23101,25452,90081,20552,22888,22256,21276,14452,88174,20867,79841,21823,24000,19653,19483,19803,23617,16962"
2024-06,"14444,23869,25452,13279,20640,22626,23227,23185,21876,21971,22256,23618,23670,19066,14467,21276,19653,92345,22885,19483,12360,19803,85686,16998,17349,15219,20884,90081,21760,15664,15775,21823,15489,22888,16802,18302,22540,88626"
2024-05,"23870,17979,23199,14444,20425,90081,21532,21823,92345,23618,22882,22626,21876,22888,22540,21018,22885,19584,19653,19808,23185,13700,22232,17349,15065,15775,22256,14467,16778,19483,22342,21091,21758,21536,23128,91500,23109,15375"
2024-04,"17979,93347,23113,20425,82156,22888,23618,21823,15065,90081,22882,21971,91664,14610,92252,22540,23777,21876,16778,19483,23021,22232,21536,15775,21273,19584,77624,18558,15433,17349,19653,14523,23226,23109,21276,91500,68145,20867"
2024-03,"93347,14610,22256,23266,22272,16788,16146,14419,90081,23102,15065,15775,77624,91664,21720,17349,23731,21971,20607,21536,21019,21018,19653,91571,23021,22328,21876,23191,14467,21273,17360,19483,20609,88626,20572,22638,17869,21759"
2024-02,"15065,21720,23266,22255,22256,15775,22272,16788,16400,91488,14419,23191,90081,17349,21971,16310,23021,14468,23678,20607,93237,17889,20584,22897,20439,88195,17360,17869,15789,21273,21018,18306,21536,13825,15639,21019,14611"
2024-01,"15833,15065,90081,22602,15775,22256,22801,18306,23021,19184,15639,17272,20607,20584,18402,17251,16824,14296,19395,21971,15789,91500,17967,17349,91571,19980,13798,15431,19644,90926,22245,13825,19653,16188,13954,21876,20280"
2023-12,"23397,15833,23514,22602,90081,17272,23058,20462,14245,20334,22801,17966,16532,19008,21575,20607,21019,13954,22782,19184,17967,20280,22670,21062,91500,21764,22223,20662,21560,20312,19682,22245,23021,21971,21860,21844,19077"
2023-11,"17272,23058,14245,19499,21575,14879,22670,13954,21062,22610,90081,20884,12527,85526,20662,20312,20436,91500,22565,16792,91571,23119,13883,22897,19947,20281,20607,88937,52231,21560,21844,60599,19953,19978,14296,16145"
2023-10,"19978,21698,20825,19024,20281,14245,23204,19499,13455,21575,17272,52231,18372,20436,20662,16792,18413,22603,22610,21844,90926,91500,19947,60599,21513,85526,17313,91571,17109,12017,22255,90298,16145,90081,19397,21560"
2023-09,"23273,91428,22347,23204,22565,19487,19846,19024,21575,20281,21577,90926,23178,19397,14245,19499,16792,21844,60599,14556,17272,21832,88937,23321,14424,18562,19847,17889,19140,23194,21114,18405,22897,16594,18102,16145"
2023-08,"23204,22347,23194,19846,22565,19397,19649,18781,19024,76461,15904,18377,21844,20412,21575,82779,17272,21835,14424,20281,20422,14245,13278,20101,19499,19847,16820,23226,21577,19314,22667,88937,23007,20331,22897,20150"
2023-07,"90319,14542,76461,21260,20412,21575,18781,22185,22667,17222,20101,17907,20999,18830,21844,19024,22670,13278,15904,82779,18377,20312,16070,88937,19249,60599,23057,20290,20281,21309,15087,21832,16820,18678,14991,89301,22523"
2023-06,"84788,90319,14542,21260,76461,20999,20581,21889,20721,20281,22321,16070,19986,17907,15358,19024,19956,21575,17222,82779,21913,21720,21844,89301,22523,19576,22185,20331,22897,21760,20173,18377,19644,21114,60599,19331"
2023-05,"84788,14542,90319,21889,23058,14934,20581,19024,20331,17315,15358,21760,21588,20436,20281,18830,19025,22286,22565,82779,20721,23057,22238,86581,19391,16655,19956,21913,21844,21044,20607,18377,89301,17222,19576,18568"
2023-04,"22767,22885,84788,14542,90319,15358,87759,16655,21913,13707,14934,17315,22565,89301,86581,21588,18309,82779,20194,21575,19024,16877,22311,18568,18648,20581,21044,22634,20120,14245,19644,20281,75694,20196,17044,21912"
2023-03,"22767,84788,90319,14542,22523,16655,15358,20194,20623,22670,13707,20196,21947,22763,17315,82779,21913,21588,22316,82156,20581,17045,93132,86581,22565,21927,14245,16877,89301,19644,21286,20281,22781,75694,17044,13798"
2023-02,"20975,84788,16655,90319,14542,15358,21947,20163,20194,17315,22667,17979,22316,17045,22655,22297,19352,19180,19778,20623,21912,15375,22670,21336,82779,19179,20636,14615,21920,20196,18203,21114,20798,90483,20801,93436"
2023-01,"84788,15358,85757,16655,90319,14542,20975,19352,21912,17315,16670,19401,86581,13712,19483,19193,19180,17979,19944,19778,18203,20194,21026,22316,16393,21336,20663,17045,16788,90483,17141,22255,19978,21331,19986,82779"
