date,pred
1987-12,-0.0012174282536341792
1988-01,-0.012707553268519352
1988-02,-0.01048649567450933
1988-03,-0.010030582167219663
1988-04,-0.010005529384986075
1988-05,-0.009623982512001998
1988-06,-0.009010512600200143
1988-07,-0.010176355482675443
1988-08,-0.008898939710419341
1988-09,-0.010992282967605125
1988-10,-0.009449017896293335
1988-11,-0.01007093865170465
1988-12,-0.010347858598626225
1989-01,-0.009467937126339617
1989-02,-0.0109931362985739
1989-03,-0.01383829379672834
1989-04,-0.009620468156248453
1989-05,-0.009810048322501317
1989-06,-0.010215276863867554
1989-07,-0.008485395062818273
1989-08,-0.010186778033922216
1989-09,-0.010998348727710978
1989-10,-0.011709067774813006
1989-11,-0.010093634029077477
1989-12,-0.0101889519666438
1990-01,-0.009500437686261274
1990-02,-0.007464787512327747
1990-03,-0.008906265509077313
1990-04,-0.00845053965907455
1990-05,-0.007770926115101894
1990-06,-0.009687848299371204
1990-07,-0.008837435900823441
1990-08,-0.009071544767296396
1990-09,-0.010202477349307588
1990-10,-0.007571490730400441
1990-11,-0.008397710670242267
1990-12,-0.008243261931974633
1991-01,-0.008376622886616778
1991-02,-0.007912315270669427
1991-03,-0.00911867300330797
1991-04,-0.014123658211591157
1991-05,-0.009053753348007244
1991-06,-0.009330282845227775
1991-07,-0.006450698544642846
1991-08,-0.005074760825661757
1991-09,-0.009875288504765442
1991-10,-0.008886769744918366
1991-11,-0.007992526887880866
1991-12,-0.007141734346929211
1992-01,-0.007038800535289037
1992-02,-0.009520773364321802
1992-03,-0.009634743977916308
1992-04,-0.00524341830703689
1992-05,-0.003602077436908902
1992-06,-0.007898471435576442
1992-07,-0.005688228564485521
1992-08,-0.013363846046265733
1992-09,-0.0035125923442525814
1992-10,-0.00977940713090009
1992-11,-0.005942047359432394
1992-12,-0.005317164311320783
1993-01,-0.009170791867890434
1993-02,-0.008568292504873506
1993-03,-0.009050490028881619
1993-04,-0.0075306202704199104
1993-05,-0.007344784098397779
1993-06,-0.005769398878106786
1993-07,-0.007710840641710723
1993-08,-0.00607027621289793
1993-09,-0.008662206599174507
1993-10,-0.005320490215067548
1993-11,-0.008571492607596575
1993-12,-0.00622848168051207
1994-01,-0.006862681683282708
1994-02,-0.009104914711497509
1994-03,-0.009898473542004543
1994-04,-0.007943209190193956
1994-05,-0.00922286583016075
1994-06,-0.006513813799183085
1994-07,-0.007473613807407779
1994-08,-0.007232874013674737
1994-09,-0.009102703797204334
1994-10,-0.0068575568652347535
1994-11,-0.007849969857652494
1994-12,-0.007218325277099958
1995-01,-0.0066273880848648796
1995-02,-0.00912034320866371
1995-03,-0.008151027798547254
1995-04,-0.007658075790356071
1995-05,-0.007362529777900501
1995-06,-0.007901717724098034
1995-07,-0.008395093649157992
1995-08,-0.00909388465149278
1995-09,-0.009640760443474455
1995-10,-0.011156541695451706
1995-11,-0.008501325028146295
1995-12,-0.006906864413193799
1996-01,-0.006322587531784069
1996-02,-0.005358735619055515
1996-03,-0.008820330570040601
1996-04,-0.009211552500385975
1996-05,-0.007111887342820044
1996-06,-0.008077006459242454
1996-07,-0.008018219552875733
1996-08,-0.006522354864963005
1996-09,-0.008810703375764123
1996-10,-0.007393455523083425
1996-11,-0.00783868543700531
1996-12,-0.008129523435123945
1997-01,-0.009777360452233895
1997-02,-0.0065508070711788905
1997-03,-0.008065772217153775
1997-04,-0.0073368143259117
1997-05,-0.007905001887480148
1997-06,-0.009107432160295376
1997-07,-0.009827220554926701
1997-08,-0.007471020600458387
1997-09,-0.0072095517287873315
1997-10,-0.008767815126193016
1997-11,-0.009998832380053328
1997-12,-0.0078291931732571
1998-01,-0.009451773753986675
1998-02,-0.00755379308370891
1998-03,-0.007162412040044775
1998-04,-0.007360639862748218
1998-05,-0.008894683644124046
1998-06,-0.007937590482098607
1998-07,-0.008050084702162666
1998-08,-0.006686067358461142
1998-09,-0.006667733710005511
1998-10,-0.007615422905938435
1998-11,-0.009016037949741207
1998-12,-0.007052842053854479
1999-01,-0.00840857635857373
1999-02,-0.008346693366528673
