date,pred
1987-12,-0.005895453459257677
1988-01,0.006866482060136272
1988-02,-0.021101990706616384
1988-03,0.0011355710692447793
1988-04,-0.003931501780156504
1988-05,-0.03226583307512712
1988-06,-0.005601481948034102
1988-07,0.0048400476591122475
1988-08,0.01061545227195456
1988-09,0.01186250577633521
1988-10,0.008349085268797145
1988-11,0.015193203006215366
1988-12,0.011383311342826502
1989-01,0.009832618847468765
1989-02,-0.014466234595322338
1989-03,-0.0011404103160477157
1989-04,0.0011344288043731937
1989-05,0.004665899575270532
1989-06,0.010553441191578576
1989-07,0.008826872795413693
1989-08,0.007782173788554839
1989-09,0.013327551123969853
1989-10,0.01250308976023921
1989-11,0.031217730833328006
1989-12,0.03781185881749201
1990-01,0.021815456694464858
1990-02,0.01856207479973067
1990-03,0.003944466274982583
1990-04,-0.0029778471989880123
1990-05,0.019916127620227396
1990-06,0.024022749145731947
1990-07,0.016779868386531737
1990-08,0.022942879382533924
1990-09,0.026509786542713677
1990-10,0.029678961680641172
1990-11,0.019452535572105977
1990-12,0.0479511177967505
1991-01,0.018314508867941438
1991-02,-0.0001859938472799887
1991-03,-0.035514925461487684
1991-04,-0.01174621778155877
1991-05,0.004632869598790621
1991-06,-0.0007190515432471392
1991-07,0.0022942589257333858
1991-08,0.012806508418123736
1991-09,0.013586764407509545
1991-10,-0.015500233596828832
1991-11,0.006741093043058522
1991-12,0.018198508775290508
1992-01,-0.10222865532505837
1992-02,-0.03130521589509017
1992-03,-0.07819111713265232
1992-04,-0.012152651976050118
1992-05,-0.012581685128209069
1992-06,-0.016930041156613534
1992-07,-0.01216766680799103
1992-08,-0.0005040434598934733
1992-09,-0.0020016327826391815
1992-10,0.007587126008127904
1992-11,-0.03770480574260142
1992-12,0.006921015182732662
1993-01,-0.03450990782582844
1993-02,-0.01673903591244235
1993-03,-0.0024513233632365225
1993-04,-0.010034028760110945
1993-05,-0.0032204912708715936
1993-06,-0.01256210211706587
1993-07,-0.00934744090960289
1993-08,0.001962619020527507
1993-09,0.0014442321579618933
1993-10,-0.010289647122667632
1993-11,-0.0033215678361306995
1993-12,-3.1409008234704324e-05
1994-01,-0.028561263529898392
1994-02,-0.004946287202223276
1994-03,-0.0017755689789966795
1994-04,-0.009394621732409935
1994-05,-0.022902163537205457
1994-06,-0.014784468897953908
1994-07,-0.008041077946462756
1994-08,-0.012109104912096897
1994-09,-0.014539473947815826
1994-10,-0.008850886428789548
1994-11,-0.002828575266389777
1994-12,-0.010372087247092978
1995-01,-0.013182047747376848
1995-02,-0.003214038459646375
1995-03,0.0020775904110520707
1995-04,-0.0007288426711257158
1995-05,-0.0019621911021557126
1995-06,-0.011641393737775743
1995-07,-0.009661593789842892
1995-08,-0.0047465334340411475
1995-09,-0.0026382677924656774
1995-10,-0.018907720839671713
1995-11,-0.015410270606641794
1995-12,-0.005273329614827326
1996-01,-0.027978470595145796
1996-02,-0.008975434053709338
1996-03,-0.005117136934414234
1996-04,-0.004334453989339461
1996-05,-0.005412726091184316
1996-06,-0.0076883190946293156
1996-07,-0.005480264945244832
1996-08,-0.011583127215214652
1996-09,-0.004130166577315929
1996-10,-0.008931872369057993
1996-11,-0.0004348574940857242
1996-12,0.0028934712137098227
1997-01,-0.016089052495154875
1997-02,-0.01578017716250418
1997-03,-0.002442190636021298
1997-04,0.0007028167375401401
1997-05,0.005281453974705182
1997-06,0.0020647595657462066
1997-07,0.0023701000126785223
1997-08,-0.002347798770685352
1997-09,-0.00296245318822281
1997-10,-0.0023275870801392298
1997-11,-0.0020377523730222592
1997-12,0.0057341416909325385
1998-01,-0.0028193216054016495
1998-02,-0.01105235310460954
1998-03,-0.0063805116059986
1998-04,-0.010157003539574973
1998-05,-0.013500561721196855
1998-06,-0.0096011920613217
1998-07,-0.004389592231885295
1998-08,-0.009215694712274687
1998-09,-0.001231655458932243
1998-10,-0.0017111854512746718
1998-11,0.0071832229208678225
1998-12,0.010539942284595991
1999-01,-0.019714747942964322
1999-02,-0.0051720278231568466
1999-03,-0.004210162904218785
1999-04,-0.001447898356935218
1999-05,-0.04210972165501653
1999-06,-0.011561909559373897
1999-07,-0.029223769258962196
1999-08,-0.016642345617800567
1999-09,-0.011068755668727961
1999-10,9.540507586440287e-05
1999-11,-0.015099347869468285
1999-12,-0.003036957508251134
2000-01,-0.020716844826467438
2000-02,-0.010677158628143082
2000-03,-0.034096993065047744
2000-04,-0.01712726235201098
2000-05,-0.04767582634541689
2000-06,-0.015446559107328929
2000-07,-0.013461915043298255
2000-08,0.00490545382549737
2000-09,-0.007737622806725468
2000-10,-0.009735748804930335
2000-11,-0.0113159680851683
2000-12,-0.004366945409540868
2001-01,-0.043244360544210526
2001-02,-0.05325054952566549
2001-03,-0.02451668078638104
2001-04,-0.024980358533941094
2001-05,-0.03768445236554152
2001-06,-0.03356626448970703
2001-07,-0.02439635566060105
2001-08,-0.014873030950878443
2001-09,-0.009340529108937328
2001-10,-0.006053971302401686
2001-11,-0.00510225014942274
2001-12,-0.007335550690789101
2002-01,-0.00683276201268226
2002-02,-0.005678625375162002
2002-03,-0.000118372330206791
2002-04,-0.0011352481681439477
2002-05,-0.0014149198435006497
2002-06,0.013932250609807725
2002-07,-0.0846524607367496
2002-08,-0.020618556187310445
2002-09,-0.028429025646340735
2002-10,-0.027026992766959575
2002-11,-0.1697420727468821
2002-12,-0.10451736177862685
2003-01,-0.12830085230222002
2003-02,-0.05059098280307148
2003-03,-0.0299301987417294
2003-04,-0.08994348790000144
2003-05,-0.16138659636270936
2003-06,-0.12333519249630637
2003-07,-0.1105739779389754
2003-08,-0.10346701289757444
2003-09,-0.09447368352830109
2003-10,-0.09710605460118858
2003-11,-0.04810753933497998
2003-12,-0.033670796057558516
2004-01,-0.08293752229166007
2004-02,-0.04164496720845195
2004-03,-0.02837908044917224
2004-04,-0.034625260466189876
2004-05,-0.018046751103028988
2004-06,-0.010197316622724984
2004-07,-0.011051260098628647
2004-08,-0.011573300116784667
2004-09,-0.011974347580532016
2004-10,-0.007145105385707003
2004-11,-0.0049158480396204055
2004-12,-0.027162015629444113
2005-01,-0.03514356093742684
2005-02,0.0004908487208463703
2005-03,-0.005504778470833594
2005-04,-0.013737412849221342
2005-05,-0.0008842662160455475
2005-06,-0.0077723706823358526
2005-07,-0.011755566841026379
2005-08,-0.0087452505649518
2005-09,-0.009301634321894339
2005-10,-0.010471142135706893
2005-11,-0.04631912289026703
2005-12,-0.044993204467018176
2006-01,0.0019678057646785934
2006-02,-0.006032536317889144
2006-03,-0.004418086083696438
2006-04,-0.00589852185142828
2006-05,-0.013885446227253198
2006-06,-0.015061613309540747
2006-07,-0.0022337502679384154
2006-08,-0.02292890382083371
2006-09,-0.007731228411646211
2006-10,-0.0025815785439397233
2006-11,-0.007993203243397681
2006-12,-0.0023298924219349705
2007-01,-0.008721515096246671
2007-02,-0.008866646214065056
2007-03,-0.0012585576691962015
2007-04,0.0007409830422878197
2007-05,0.00028486342429226425
2007-06,-0.01006271431422585
2007-07,-1.8836840495480357e-05
2007-08,-0.0013774806207925907
2007-09,0.003993000910160492
2007-10,0.009142347784318586
2007-11,0.012855367947419068
2007-12,0.012044983958346403
2008-01,-0.004767963644012565
2008-02,-0.002089246079735079
2008-03,0.0005332995119553052
2008-04,-0.004259727406915576
2008-05,0.007880198658568925
2008-06,0.02146826139307823
2008-07,-0.0019978134342976185
2008-08,-0.001269286955442387
2008-09,-0.03331790493927183
2008-10,-0.03139416606759027
2008-11,0.007715636783429859
2008-12,0.03777589780613166
2009-01,-0.037210041278658554
2009-02,0.01226420061093383
2009-03,-0.04642946304713355
2009-04,-0.13777785606271256
2009-05,-0.1458442728123729
2009-06,-0.06595677698730273
2009-07,-0.02753227901676424
2009-08,-0.10016535808175764
2009-09,-0.06733805154904363
2009-10,-0.022663917181181388
2009-11,0.02409812724670164
2009-12,0.00321516738954342
2010-01,-0.01744990440016969
2010-02,-0.003145829620705222
2010-03,-0.024641446688227386
2010-04,-0.07541896815449328
2010-05,-0.019113371752176783
2010-06,0.02374392089859362
2010-07,0.016204557921750507
2010-08,0.008548974190077809
2010-09,0.005026280311503662
2010-10,-0.009199842479419542
2010-11,-0.013810361671548834
2010-12,-0.015668510808844814
2011-01,-0.03115391511286268
2011-02,-0.018137808623529303
2011-03,-0.007113273797095292
2011-04,-0.004880318437888392
2011-05,-0.0004784443720443938
2011-06,-0.007375663080164839
2011-07,-0.007423084635764643
2011-08,-0.033228142013815014
2011-09,-0.020669314396008345
2011-10,-0.002862832502451761
2011-11,0.00215607089123577
2011-12,0.0020156986126949757
2012-01,-0.004722953120748792
2012-02,-0.0022245777423764816
2012-03,0.0005051276819739204
2012-04,0.0018008805172882456
2012-05,-0.0020213289828666108
2012-06,-0.002864864790453199
2012-07,-0.0134464133861639
2012-08,-0.004497688826259546
2012-09,-0.00989600477669992
2012-10,-0.0023264319882271957
2012-11,-0.0007867940287729829
2012-12,-0.0010165518869630827
2013-01,-0.0052444072671068934
2013-02,-0.004706463864831692
2013-03,-0.00442271101113842
2013-04,-0.002323236951307862
