,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,0.03,12.4,0.002,0.502
TB_BT_5%,0.19,6.87,0.028,0.455
TB_BT_10%,0.15,5.43,0.027,0.441
