,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,-0.48,13.27,-0.036,0.473
TB_BT_5%,-0.06,7.15,-0.009,0.471
TB_BT_10%,-0.03,5.73,-0.005,0.437
