,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,-0.32,13.21,-0.024,0.507
TB_BT_5%,-0.33,7.29,-0.045,0.448
TB_BT_10%,-0.2,5.7,-0.035,0.432
