date,TB_BT_1%,TB_BT_5%,TB_BT_10%,SP500
1987-12,-0.12958567634991097,-0.07026984494592593,-0.058984366685984765,0.0396362505214387
1988-01,-0.07658017024303353,-0.07872475347332875,-0.0927628470813244,0.0806029422397217
1988-02,-0.19676446097212066,-0.10190395508592072,-0.10166604617134169,0.0466910902321121
1988-03,-0.23586911135537228,-0.12225018192948228,-0.12972273634795944,0.0560718056712118
1988-04,-0.2340143895106763,-0.1666953786964514,-0.1549722782239455,0.0592428335628607
1988-05,-0.2011616165957627,-0.1539956397969071,-0.14827959024433549,0.1015894510343372
1988-06,-0.20135960413531376,-0.20970387651185832,-0.17785928646234947,0.0961634221769087
1988-07,-0.24264123094927806,-0.24760728519094186,-0.21976814262523453,0.05679859158825659
1988-08,-0.13466613651045484,-0.20924353284986352,-0.19788011914484452,0.0957589583617135
1988-09,-0.1730564896443446,-0.21454501308711016,-0.1801492769878206,0.1213920783305171
1988-10,-0.17224608465790336,-0.1866344746601557,-0.13759228558525485,0.1023204452189348
1988-11,-0.20861172841631526,-0.15138065098745462,-0.1170361044620892,0.11690124105737419
1988-12,-0.5285176871809714,-0.2078006259228784,-0.1573177229779512,0.185601208737123
1989-01,-0.5816047748311463,-0.22241555314152878,-0.1751862482160969,0.1562299708453222
1989-02,-0.5202132038292818,-0.1333366658350102,-0.1313901338677046,0.1768224104189492
1989-03,-0.5064524378111928,-0.11961460173358882,-0.11426340637065802,0.225698161508814
1989-04,-0.6251937928155337,-0.12302098004930949,-0.11664564989531626,0.2602325060821711
1989-05,-0.6119985033816022,-0.11521034661311101,-0.11668171413539087,0.25227631689286445
1989-06,-0.6521258188236748,-0.20306320847952591,-0.1775229007369817,0.33695779137704984
1989-07,-0.6755879214463512,-0.20443910012910987,-0.14795302324546877,0.3523552827942155
1989-08,-0.6539212910953417,-0.18737791512179766,-0.15301294866718332,0.34578945846434544
1989-09,-0.6494709323066209,-0.18259856867128238,-0.12697660028972813,0.32029171015365787
1989-10,-0.49312910463592763,-0.047132542703184704,-0.012357963698013105,0.3366977020782584
1989-11,-0.3420091070382602,0.04312256915016785,0.04552758437386838,0.3578883890578972
1989-12,-0.43127953069983055,-0.013099088318682978,0.010058326249831696,0.2865887114730307
1990-01,-0.418737728007516,0.024306393145167533,0.018182939461962304,0.2950914178872303
1990-02,-0.4822599961073722,-0.009513533528648137,-0.00393031930321882,0.3190569606215066
1990-03,-0.3889103057970762,0.024449466605269532,0.034471317133816445,0.2918017923218375
1990-04,-0.6091056890140701,-0.061551503815494624,-0.03425769369892094,0.3798027037445385
1990-05,-0.5440930433879548,-0.019684754333968414,-0.008189942934283559,0.3708766799343466
1990-06,-0.5042177422470853,0.0005408641194951276,-0.005702798772871762,0.36563981959666386
1990-07,-0.4463768651052412,0.034741149288170695,0.0017443532303815096,0.26657699461525025
1990-08,-0.45725988671320006,0.06419444236168852,0.03382955673655633,0.21403631646938004
1990-09,-0.5518768650834076,-0.05380897695179014,-0.06475945368898253,0.20731553057852284
1990-10,-0.5232960428531791,-0.01036235638404083,-0.014944075017928313,0.2655223712351417
1990-11,-0.2651230179272244,0.13648280700088172,0.11610843108962139,0.2900469281759876
1990-12,-0.1457535592495337,0.2433293591683929,0.24674006967373685,0.3307259774670386
1991-01,0.14598923864138935,0.3797487610051907,0.3300349364503061,0.39584039473395427
1991-02,0.23911775080722228,0.4238665934934778,0.38410043642389957,0.4178003497877661
1991-03,0.3052149725901035,0.44176564021314496,0.36211472221353497,0.4181467531913125
1991-04,0.3672779473167379,0.5106428553839549,0.41466656288621934,0.4559985758291916
1991-05,0.3329811406776318,0.5352456509957564,0.4359415494072337,0.4069210656572798
1991-06,0.28224898017795913,0.48089441966961727,0.39402303893199764,0.4508033581362672
1991-07,0.1285053933100575,0.45396591987492907,0.3641386616794854,0.4702616095647853
1991-08,-0.02212445380492084,0.4086445673018739,0.30790614874716504,0.450932278940396
1991-09,-0.04285207732405716,0.34087399146334163,0.259224128504677,0.4627224503734774
1991-10,-0.013081546483042397,0.35484665402846355,0.24501383816892064,0.41780034978776615
1991-11,-0.15124650910165155,0.24084836714368354,0.1354468472567093,0.5235898550218627
1991-12,-0.6576748760889906,0.05094750746837337,0.00872642380011135,0.5034894059230699
1992-01,-0.7507950391938225,-0.03383162038879098,-0.0807683493119663,0.5130087659308371
1992-02,-0.7827794002632277,-0.07305996348815624,-0.12058479234050193,0.4909350858549356
1992-03,-0.5920314040163193,-0.05636852904792837,-0.09388292396850886,0.518445860216758
1992-04,-0.628008196925738,-0.1075749642314725,-0.13217578050233036,0.5194093674573815
1992-05,-0.7318895242067545,-0.1292269745238647,-0.14532283188597772,0.5018980819732406
1992-06,-0.7518361544090382,-0.14223038845965474,-0.14955799671042758,0.5405164448109755
1992-07,-0.7077901211092946,-0.15940622665579607,-0.1738362656492098,0.5162262641403591
1992-08,-0.6591635501243139,-0.11816701070381902,-0.1365558590966516,0.5252906782947663
1992-09,-0.8090651509497375,-0.194530411527569,-0.1663391318255401,0.5273947341589837
1992-10,-0.8589765406584237,-0.20916089642365882,-0.17538401034976614,0.5572076546948883
1992-11,-1.1049620417382182,-0.25398504449764125,-0.1979240661942411,0.5672647136044963
1992-12,-1.392061478275909,-0.4211012511521701,-0.30071448027886927,0.5742859776832152
1993-01,-1.4580845637043645,-0.4855432257234997,-0.3643226974054291,0.5847150193381075
1993-02,-1.4453230570545152,-0.4425354979011391,-0.3527183177285437,0.6032396538645604
1993-03,-1.5064278501940929,-0.4553948994874726,-0.3671217264525095,0.5774942810597858
1993-04,-1.4725707656172484,-0.4722973838878412,-0.3885826740460286,0.599957545048168
1993-05,-1.5264579018463758,-0.502555149970127,-0.40923874238475216,0.6007124966783053
1993-06,-1.482144720860603,-0.4743660119472916,-0.4011108347827897,0.5953711980650558
1993-07,-1.5302706553986993,-0.47230561534648063,-0.420052489933632,0.629223655638491
1993-08,-1.4638678827052174,-0.4437654838286654,-0.4165012769917932,0.6191855221560848
1993-09,-1.5492881629363098,-0.4868006965683045,-0.4548774849726753,0.6383928112362135
1993-10,-1.6238020893676923,-0.5550710004744381,-0.5036692287470004,0.6253980714623937
1993-11,-1.5708098106873338,-0.5495189533643096,-0.49125095756933457,0.6354386625792707
1993-12,-1.4507333139505851,-0.48545846536334364,-0.46271574864646825,0.6674224870709419
1994-01,-1.375070504687552,-0.4122538510779445,-0.41056914035192954,0.6369168277816312
1994-02,-1.3377246209205476,-0.42082099991293487,-0.4355075262386888,0.5900909531086662
1994-03,-1.2427523178935194,-0.4302565580562821,-0.4439983765277374,0.6015555922199031
1994-04,-1.2154655356735689,-0.42241458495807316,-0.43797031214218074,0.6138984347724332
1994-05,-1.2522691705765336,-0.4061691524287551,-0.4050955007662382,0.586720314889822
1994-06,-1.2667938663872955,-0.39652341605461605,-0.3939477298877363,0.6177027158921147
1994-07,-1.14506676604306,-0.3709756077953837,-0.376793966015745,0.6546547111577453
1994-08,-1.1477921554691806,-0.34422911027015146,-0.360124912038309,0.627388337127485
1994-09,-1.2286798659524758,-0.3979029681605132,-0.38803416308118216,0.6480080653874438
1994-10,-1.2069428261139052,-0.34947293286634057,-0.3631280477358383,0.6077019746030593
1994-11,-1.1486048294775277,-0.2863615380176919,-0.3181307308265104,0.6199261015843998
1994-12,-1.217204766205398,-0.3905190000473214,-0.3801891196295571,0.643913741859698
1995-01,-1.2905775624247804,-0.3584822251500521,-0.36600994853734653,0.6793524531237949
