,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,-0.77,13.02,-0.059,0.475
TB_BT_5%,-0.49,7.33,-0.067,0.439
TB_BT_10%,-0.49,5.79,-0.084,0.41
