,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,0.29,12.88,0.022,0.514
TB_BT_5%,0.3,7.56,0.04,0.493
TB_BT_10%,0.27,6.0,0.045,0.473
