,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,1.84,12.67,0.145,0.536
TB_BT_5%,1.16,7.21,0.16,0.502
TB_BT_10%,0.98,5.75,0.171,0.525
