,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,1.2,12.71,0.094,0.523
TB_BT_5%,0.89,7.46,0.119,0.491
TB_BT_10%,0.73,6.05,0.12,0.491
