,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,-0.89,13.45,-0.066,0.473
TB_BT_5%,-0.47,7.57,-0.062,0.45
TB_BT_10%,-0.5,5.84,-0.085,0.417
