,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,-0.17,13.14,-0.013,0.509
TB_BT_5%,-0.24,7.42,-0.033,0.439
TB_BT_10%,-0.07,5.8,-0.012,0.437
