,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,3.3,13.03,0.253,0.581
TB_BT_5%,1.86,7.49,0.248,0.552
TB_BT_10%,1.25,5.98,0.208,0.534
