,mean,std,sharpe,outperform
SP500,0.71,4.26,0.168,
TB_BT_1%,1.12,13.44,0.083,0.518
TB_BT_5%,0.96,7.36,0.13,0.518
TB_BT_10%,0.71,5.91,0.12,0.493
