date,Top_minus_Bottom,Bottom_minus_Top,Buy_Top,Sell_Top,Buy_Bottom,Sell_Bottom
2024-11,-0.07558625702077432,0.07558625702077432,-0.1350346999342844,0.1350346999342844,-0.05944844291351009,0.05944844291351009
2024-10,-0.010458304559332918,0.010458304559332918,-0.011307004032297618,0.011307004032297618,-0.0008486994729646999,0.0008486994729646999
2024-09,0.1398341613061678,-0.1398341613061678,-0.018122337189668773,0.018122337189668773,-0.15795649849583657,0.15795649849583657
2024-08,-0.14434174368154296,0.14434174368154296,-0.04628730712940682,0.04628730712940682,0.09805443655213614,-0.09805443655213614
2024-07,0.03597559471386132,-0.03597559471386132,-0.1127541419284321,0.1127541419284321,-0.14872973664229341,0.14872973664229341
2024-06,-0.05193653104455774,0.05193653104455774,0.020271186619293405,-0.020271186619293405,0.07220771766385115,-0.07220771766385115
2024-05,-0.1258574525365187,0.1258574525365187,-0.09715064301897404,0.09715064301897404,0.028706809517544663,-0.028706809517544663
2024-04,0.016139736786812905,-0.016139736786812905,0.01882827081743387,-0.01882827081743387,0.002688534030620966,-0.002688534030620966
2024-03,0.0458297962057396,-0.0458297962057396,-0.09271866436078546,0.09271866436078546,-0.13854846056652506,0.13854846056652506
2024-02,0.008316320346683293,-0.008316320346683293,0.0009765398154726305,-0.0009765398154726305,-0.007339780531210664,0.007339780531210664
2024-01,-0.02683991122428457,0.02683991122428457,0.0717972431815349,-0.0717972431815349,0.09863715440581947,-0.09863715440581947
2023-12,0.08040747955702734,-0.08040747955702734,-0.02438391275808046,0.02438391275808046,-0.10479139231510781,0.10479139231510781
2023-11,-0.062277954727259346,0.062277954727259346,0.08915782784744535,-0.08915782784744535,0.1514357825747047,-0.1514357825747047
2023-10,-0.043064257120771825,0.043064257120771825,0.00333310602729251,-0.00333310602729251,0.046397363148064336,-0.046397363148064336
2023-09,-0.00034223000737904075,0.00034223000737904075,-0.12664806843887666,0.12664806843887666,-0.12630583843149762,0.12630583843149762
2023-08,0.02534715577085908,-0.02534715577085908,-0.1025592996124412,0.1025592996124412,-0.12790645538330028,0.12790645538330028
2023-07,0.036067184853404044,-0.036067184853404044,-0.11251835465454238,0.11251835465454238,-0.14858553950794642,0.14858553950794642
2023-06,-0.026568780486710776,0.026568780486710776,0.0371875990314637,-0.0371875990314637,0.06375637951817448,-0.06375637951817448
2023-05,0.03816416002364446,-0.03816416002364446,0.04560254293299177,-0.04560254293299177,0.007438382909347313,-0.007438382909347313
2023-04,-0.07222679577205834,0.07222679577205834,-0.06483968521251161,0.06483968521251161,0.007387110559546735,-0.007387110559546735
2023-03,-0.07350782786555957,0.07350782786555957,-0.02907931825576339,0.02907931825576339,0.04442850960979617,-0.04442850960979617
2023-02,0.1748059822657038,-0.1748059822657038,-0.05180128287268553,0.05180128287268553,-0.22660726513838933,0.22660726513838933
2023-01,0.0894970632072839,-0.0894970632072839,-0.053994521193440254,0.053994521193440254,-0.14349158440072415,0.14349158440072415
2022-12,-0.11709980744949645,0.11709980744949645,0.08029468711663885,-0.08029468711663885,0.1973944945661353,-0.1973944945661353
2022-11,-0.08022059223481716,0.08022059223481716,-0.07794005356635775,0.07794005356635775,0.0022805386684594054,-0.0022805386684594054
2022-10,0.1193053601909125,-0.1193053601909125,-0.04106098848814467,0.04106098848814467,-0.16036634867905716,0.16036634867905716
2022-09,0.2069004996353276,-0.2069004996353276,0.13200631613719732,-0.13200631613719732,-0.07489418349813029,0.07489418349813029
2022-08,0.00291501642907549,-0.00291501642907549,-0.16400658415552055,0.16400658415552055,-0.16692160058459604,0.16692160058459604
2022-07,-0.18946127644460753,0.18946127644460753,-0.06816977790697983,0.06816977790697983,0.12129149853762772,-0.12129149853762772
2022-06,0.1350775346992672,-0.1350775346992672,0.11336801890179948,-0.11336801890179948,-0.021709515797467705,0.021709515797467705
2022-05,-0.2052297714405783,0.2052297714405783,-0.18396999379206805,0.18396999379206805,0.02125977764851026,-0.02125977764851026
2022-04,0.029601531969879476,-0.029601531969879476,0.007171288224602208,-0.007171288224602208,-0.02243024374527727,0.02243024374527727
2022-03,-0.12194051040847592,0.12194051040847592,-0.23871766350063456,0.23871766350063456,-0.11677715309215864,0.11677715309215864
2022-02,-0.08312866274700616,0.08312866274700616,-0.006448978481135803,0.006448978481135803,0.07667968426587035,-0.07667968426587035
2022-01,0.0071953378050550795,-0.0071953378050550795,-0.000820746351649557,0.000820746351649557,-0.008016084156704637,0.008016084156704637
2021-12,-0.09253934290821782,0.09253934290821782,-0.2078029784439395,0.2078029784439395,-0.11526363553572168,0.11526363553572168
2021-11,0.028170287048413525,-0.028170287048413525,-0.07323147133825081,0.07323147133825081,-0.10140175838666433,0.10140175838666433
2021-10,0.04270464414350303,-0.04270464414350303,-0.09875478112033803,0.09875478112033803,-0.14145942526384106,0.14145942526384106
2021-09,0.12439947521944751,-0.12439947521944751,0.04518095171161657,-0.04518095171161657,-0.07921852350783094,0.07921852350783094
2021-08,-0.03329479354940793,0.03329479354940793,-0.06255663537228646,0.06255663537228646,-0.029261841822878533,0.029261841822878533
2021-07,0.007675171426427799,-0.007675171426427799,0.021019563147730392,-0.021019563147730392,0.013344391721302593,-0.013344391721302593
2021-06,0.025430257844777995,-0.025430257844777995,-0.1010853890919378,0.1010853890919378,-0.1265156469367158,0.1265156469367158
2021-05,-0.06377729334231416,0.06377729334231416,0.05076790605624062,-0.05076790605624062,0.11454519939855477,-0.11454519939855477
2021-04,-0.10941542330835297,0.10941542330835297,-0.0889741241335035,0.0889741241335035,0.020441299174849464,-0.020441299174849464
