date,Top_stocks
2024-11,"91734,90999,87471,22323,14708,29102,83520,15058,17854,82848,92518,14619,93338,88462,87364,16673,12644,12060,92601,45225,92380,86536,14877,14060,17141,14468,10258,90288,15793,75573,16611,14535,12527,79499,13337,81084,12209,93337,15294"
2024-10,"91734,90999,22323,87471,92518,29102,17854,15058,83520,88462,87364,92380,18054,82848,14619,93338,92601,14708,12060,10258,12644,75573,16611,16673,45225,13124,14535,14877,79499,92130,14060,15287,90288,16681,86098,81084,65285,13337,93337"
2024-09,"90999,29102,92518,91734,87471,22323,17854,75573,14497,83520,87364,15058,18054,65285,92601,93338,12644,12060,16611,88462,14619,10258,16673,13124,81084,92380,79499,14708,85272,82848,86233,14877,13337,14535,91560,14813,88427,54704,15287"
2024-08,"91734,92518,90999,87471,18054,14497,90298,22323,16680,29102,65285,92601,83520,14313,15510,87364,75573,12644,15058,17854,10258,92380,16611,12060,14619,16108,81084,14535,13124,86233,16673,88427,16318,15542,93338,79499,93263,91560"
2024-07,"14444,91734,92518,90999,87471,14497,91283,90298,83520,29102,14313,87364,18054,92601,12644,92380,16108,75573,65285,88462,93263,16611,13124,92252,15542,14535,12060,86233,15058,14619,79499,17854,16318,92594,93338,10258,88427,91560"
2024-06,"91734,92518,91305,90999,29102,87471,75573,83520,91283,14497,90298,87364,12644,14313,92601,88462,13124,93263,12060,14619,92686,16611,16318,65285,15542,15058,83883,86233,18054,92252,14535,90720,89698,15219,93338,10258,90542,16108"
2024-05,"91560,92518,91734,92426,87471,91305,90999,14497,29102,83520,75573,87364,12644,15058,14313,90298,93263,15219,14535,88462,83883,13124,12060,15542,16318,90720,92601,92686,14619,86233,80577,90542,13323,10258,86211,89698,14060,15303"
2024-04,"91560,92518,91734,88471,14813,92426,83520,14313,91305,90999,87364,15058,87471,29102,16318,13844,93263,88462,14497,12644,90298,13124,83883,12060,75573,90542,90720,86233,65285,13323,15219,80577,92601,93337,85272,14535,14619,15542"
2024-03,"65285,91560,91734,92518,88471,15058,89029,92426,14813,91453,29102,90999,87471,88462,16318,83520,91305,12644,90298,13844,86233,14313,80577,92380,75573,92601,93263,15784,87364,13124,12060,90720,13323,14535,15831,90126,93237,90542"
2024-02,"65285,91560,10258,14813,92518,91734,88471,92426,29102,87471,91453,90999,15058,15904,14313,85272,86233,88462,75573,83520,13323,12644,91305,92380,16318,90298,87364,13844,92601,14551,93263,90720,80577,12060,13124,90126,91348"
2024-01,"10258,65285,91560,92518,88471,29102,91734,14313,90999,14813,93299,92426,91453,86233,87471,88462,15831,15904,13323,88511,12644,83520,91305,75573,15058,92601,15784,85272,12060,12017,14619,87364,90298,13844,92380,93263,81084"
2023-12,"10258,91560,65285,92518,93263,88471,87471,86536,29102,93299,91734,14313,90999,91453,12644,15831,89648,86233,92426,88462,91305,13844,91627,92601,13323,12060,14813,15904,75573,85272,86812,15058,14619,81084,15172,13124,89698"
2023-11,"10258,65285,91560,93263,92518,93299,87471,90999,13323,86233,29102,85272,88471,12644,91453,14313,15831,75573,15172,81084,92426,14813,91734,75854,15058,88462,12017,92601,13844,89648,91627,86536,89698,83883,15904,15416"
2023-10,"65285,10258,91560,93263,92518,87471,13323,93299,15831,85272,91734,88462,12644,90999,29102,86233,91453,14813,13844,14313,91627,75573,89698,15904,86536,15219,92426,75854,83883,15416,91082,16318,89648,14060,92601,12060"
2023-09,"10258,65285,91560,92518,87471,93263,13323,91627,93299,12644,15831,88462,85272,29102,14313,91453,14813,13844,90999,86233,75573,68145,91734,14060,92131,89698,15416,92426,83883,92601,10028,14497,75854,15219,91379,90926"
2023-08,"10258,65285,91560,92518,87471,93263,91082,13323,15831,12644,68145,93299,75573,85272,91627,29102,91453,15219,14313,92131,90999,14813,91734,89698,75854,83883,15416,13844,84302,14497,91907,15793,88462,92426,90926,86233"
2023-07,"93338,10258,65285,87471,92518,91560,93263,91082,13323,12644,15831,68145,84302,93371,93299,75573,85272,92131,15793,29102,91453,14497,91627,90999,75854,89698,91734,15416,88462,14813,14313,92426,79499,10028,16290,92601,89648"
2023-06,"93338,87471,10258,65285,91560,92518,12644,91082,13323,14497,93371,15831,68145,93263,75573,93299,15793,90999,75854,92131,29102,89698,91627,91453,92426,92601,83883,13796,81761,91734,89648,85272,91379,90976,17799,14313"
2023-05,"93338,91082,13323,91560,10258,87471,92518,65285,12644,14497,93299,75573,92601,15831,68145,75854,93263,15793,93371,29102,91453,90999,92426,85272,91627,83883,89698,16182,89648,91379,13796,61241,86233,90976,14313,81761"
