date,Top_average
2024-11,-0.1350346999342844
2024-10,-0.011307004032297618
2024-09,-0.018122337189668773
2024-08,-0.04628730712940682
2024-07,-0.1127541419284321
2024-06,0.020271186619293405
2024-05,-0.09715064301897404
2024-04,0.01882827081743387
2024-03,-0.09271866436078546
2024-02,0.0009765398154726305
2024-01,0.0717972431815349
2023-12,-0.02438391275808046
2023-11,0.08915782784744535
2023-10,0.00333310602729251
2023-09,-0.12664806843887666
2023-08,-0.1025592996124412
2023-07,-0.11251835465454238
2023-06,0.0371875990314637
2023-05,0.04560254293299177
2023-04,-0.06483968521251161
2023-03,-0.02907931825576339
2023-02,-0.05180128287268553
2023-01,-0.053994521193440254
2022-12,0.08029468711663885
2022-11,-0.07794005356635775
2022-10,-0.04106098848814467
2022-09,0.13200631613719732
2022-08,-0.16400658415552055
2022-07,-0.06816977790697983
2022-06,0.11336801890179948
2022-05,-0.18396999379206805
2022-04,0.007171288224602208
2022-03,-0.23871766350063456
2022-02,-0.006448978481135803
2022-01,-0.000820746351649557
2021-12,-0.2078029784439395
2021-11,-0.07323147133825081
2021-10,-0.09875478112033803
2021-09,0.04518095171161657
2021-08,-0.06255663537228646
2021-07,0.021019563147730392
2021-06,-0.1010853890919378
2021-05,0.05076790605624062
2021-04,-0.0889741241335035
2021-03,0.060014613741097886
2021-02,-0.0335678948219115
2021-01,0.02555254683914456
2020-12,0.0518961670604782
2020-11,0.04179614973242055
2020-10,0.21571815369962455
2020-09,-0.0437404529572062
2020-08,-0.003198157971462689
2020-07,0.035716948055731536
2020-06,0.011165002918253463
2020-05,0.010915551291360603
2020-04,0.1744039940172534
2020-03,0.19469514904993088
2020-02,-0.3127828571120151
2020-01,-0.08263906426347895
2019-12,-0.02965880740628263
2019-11,0.019332030105426532
2019-10,0.01400326270866236
2019-09,0.019194849084363
2019-08,-0.06485256872107102
2019-07,-0.055446993729232154
2019-06,6.506396421225447e-05
2019-05,-0.029946039907719286
2019-04,-0.11611836362731946
2019-03,-0.0074046482830968045
2019-02,0.012101783545798921
2019-01,0.031144966647718784
2018-12,0.11222294124156594
2018-11,-0.18351412386756674
2018-10,-0.007406106315494845
2018-09,-0.1400468151614953
2018-08,-0.04565416940176191
2018-07,-0.0619206450248967
2018-06,-0.007929920949931593
2018-05,-0.05134425748449204
2018-04,-0.005367760210339527
2018-03,-0.014336302719004448
2018-02,-0.07610178659538677
2018-01,-0.05228074757690096
2017-12,0.029220179136535383
2017-11,0.011401755599400747
2017-10,-0.02186494787097039
2017-09,0.022907562320971152
2017-08,0.02419966378758761
2017-07,-0.05553457927379635
2017-06,0.015531167279074361
2017-05,0.01793336706376308
2017-04,-0.08088236567987378
2017-03,0.04021254177295172
2017-02,0.00836425430627224
2017-01,0.018370535486026098
2016-12,0.05605652430321919
2016-11,-0.011278496950078532
2016-10,0.0118342944106021
2016-09,-0.14991163633813862
2016-08,0.08418360807514512
2016-07,-0.03435184995370572
2016-06,0.09396919553326612
2016-05,-0.011573166323278266
2016-04,0.03687873471223669
2016-03,0.035164066123977836
2016-02,0.07162457527156546
2016-01,-0.0007203990394616013
2015-12,-0.27062517668482083
2015-11,-0.021760808811162366
2015-10,0.014116740790205324
2015-09,0.016282297995313288
2015-08,-0.13873483589506092
2015-07,-0.10203689862320778
2015-06,0.0083345825182727
2015-05,0.016945756377522787
2015-04,0.13268853478686254
2015-03,-0.012634793293882732
2015-02,0.03898543973396591
2015-01,0.08721968448945228
2014-12,-0.05517965907753826
2014-11,0.016006896734535397
2014-10,0.04488376507121208
2014-09,-0.07056342840002017
2014-08,-0.06883392546255865
2014-07,0.0457145425804832
2014-06,-0.031640065792604095
2014-05,0.08635564523534939
2014-04,0.003436190774390715
2014-03,-0.016417321114034093
2014-02,-0.01959693844097175
2014-01,0.05584721517097914
2013-12,0.03089024392361777
2013-11,0.05007254121228614
2013-10,0.06602207979389445
2013-09,-0.056970148415320235
2013-08,0.06427776048743132
2013-07,-0.02285964034420393
2013-06,0.1400166717275924
2013-05,-0.018986553545139416
2013-04,0.07917389961345393
2013-03,0.001790026693920862
2013-02,0.044622739270440984
2013-01,0.020085590946881546
2012-12,-0.010642051830231624
2012-11,-0.05112325989437958
2012-10,0.024891801211450924
2012-09,0.003433267697160276
2012-08,0.013960267811399937
2012-07,0.07686120695084728
2012-06,-0.023224174981729094
2012-05,0.04148750795032523
2012-04,-0.1244405121750837
2012-03,0.023967898735262907
2012-02,0.034055018504196816
2012-01,0.1058620722683861
2011-12,0.0656918984784689
2011-11,0.04363776687449799
2011-10,-0.025468046815955287
2011-09,0.039767706244706574
2011-08,-0.19788701006441833
2011-07,-0.1157238313467143
2011-06,-0.026417569299031933
2011-05,-0.053545133698421524
2011-04,-0.07189702691680215
2011-03,-0.004714265833870017
2011-02,-0.03551836279371419
2011-01,0.10437027761732845
2010-12,0.03321004991147855
2010-11,0.05172428017443176
2010-10,0.05429713670667815
2010-09,0.022619946344918134
2010-08,0.1520710866723657
2010-07,-0.062110518870250556
2010-06,0.03680035624890746
2010-05,-0.08541986701766474
2010-04,-0.11900998025207453
2010-03,0.09875118816279448
2010-02,0.08444381357085182
2010-01,0.06595550391224593
2009-12,-0.08583172474018479
2009-11,-0.010311825522797686
2009-10,0.051995663808224395
2009-09,-0.12919607984790182
2009-08,0.08893798396006822
2009-07,-0.0040949889488421
2009-06,0.005546150033186757
2009-05,-0.015503725362120463
2009-04,0.007187394334152361
2009-03,0.13985324910670177
2009-02,0.0360088305278625
2009-01,-0.07932107116617328
2008-12,-0.10448552059944709
