date,non_nan_count
2021-02,5182
2021-03,5162
2021-04,5173
2021-05,5186
2021-06,5197
2021-07,5212
2021-08,5219
2021-09,5206
2021-10,5226
2021-11,5231
2021-12,5241
2022-01,5254
2022-02,5252
2022-03,5253
2022-04,5248
2022-05,5266
2022-06,5282
2022-07,5309
2022-08,5312
2022-09,5301
2022-10,5325
2022-11,5351
2022-12,5401
2023-01,5404
2023-02,5399
2023-03,5413
2023-04,5428
2023-05,5462
2023-06,5474
2023-07,5507
2023-08,5526
2023-09,5516
2023-10,5524
2023-11,5544
2023-12,5541
2024-01,5541
2024-02,5530
2024-03,5525
2024-04,5529
2024-05,5561
2024-06,5588
2024-07,5591
2024-08,5614
2024-09,5604
2024-10,5624
2024-11,5640
