date,Normal_IC,Rank_IC
1957-10-31,0.028062356709860268,0.08471779001956556
1957-11-29,0.250207473495279,0.2952436559707675
1957-12-31,-0.3368993639022367,-0.2961044551455314
1958-01-31,0.23808339364778888,0.30982208829009905
1958-02-28,-0.00975910687135102,-0.007736555403480078
1958-03-31,-0.0009287381816496391,0.08759462151947002
1958-04-30,-0.019548924125745763,0.018864140965711672
1958-05-29,-0.05703725433349924,-0.05757927892185589
1958-06-30,-0.20014017747907414,-0.2825508897434972
1958-07-31,0.1700272422485652,0.10462625971661424
1958-08-29,-0.04098385222105628,-0.026246295661029026
1958-09-30,0.09059487356014528,0.03451707270636788
1958-10-31,0.038004827581312836,0.055976157924312604
1958-11-28,-0.01859970642075702,-0.017522908036432232
1958-12-31,-0.016591459909883033,-0.017040460114276443
1959-01-30,0.12995006358876046,0.1270367794759319
1959-02-27,0.014170240647323907,0.02337877818300983
1959-03-31,0.02596698371948625,0.12454361105301295
1959-04-30,-0.043331638144334446,-0.02675938503760342
1959-05-29,-0.021735506351194225,0.023425030600548128
1959-06-30,-0.047733574657251046,0.039426731655587244
1959-07-31,-0.040803660887804905,-0.0843936515254985
1959-08-31,-0.06985944039129155,0.008744928152785126
1959-09-30,0.024361442737251496,0.055485886905141064
1959-10-30,-0.07503548012923464,-0.00035754422991828494
1959-11-30,0.0006417822958131358,-0.006757774551918042
1959-12-31,-0.09100584091748709,-0.08291057892296963
1960-01-29,0.031052963342508438,0.10302123976968788
1960-02-29,-0.018830774478486592,0.066773580116769
1960-03-31,0.043345105266387546,0.1933137736948614
1960-04-29,-0.0016057737575980594,0.1493724640683758
1960-05-31,-0.04176903798360108,0.004919862249517847
1960-06-30,0.03044699494575025,0.06626715499676508
1960-07-29,0.011662953026753225,0.09709341881906372
1960-08-31,-0.003525180926505035,0.06365603359708805
1960-09-30,0.10410657502685669,0.14350505019482696
1960-10-31,0.04187651646867782,0.11654688558372307
1960-11-30,-0.03531827040546943,0.03136556506769152
1960-12-30,-0.10090696500124496,-0.10252961005008701
1961-01-31,-0.10429370938486737,-0.043323465140595714
1961-02-28,-0.024083717014810543,-0.012844228217889313
1961-03-30,0.03483013286921255,0.099643042689573
1961-04-28,-0.09501863680657106,-0.03789841926239426
1961-05-31,-0.12710776604494592,-0.08907088316625912
1961-06-30,-0.010319693322103094,0.013028440187249336
1961-07-31,-0.14338790444266525,-0.02848893094402281
1961-08-31,-0.023738924126639624,0.028640628015060142
1961-09-29,0.034726608066447805,0.03654834768018001
1961-10-31,-0.024937222494358494,0.03989752313385827
