,1 month,6 month,12 month,36 month,60 month
N,752.0,752.0,752.0,752.0,752.0
Minimum,-0.3923011974255821,-0.4597724168060504,-0.429132735975902,-0.47155028381830616,-0.5015174292041342
25%,-0.04690895428557528,-0.0348105123033994,-0.03049337114816351,-0.03900432755966465,-0.03992768323692268
50%,0.002471532309138092,0.029489610334770447,0.040658565177994044,0.034305747499412675,0.025995895426587687
75%,0.05418288800053402,0.08580704067366286,0.09857782346111918,0.09346111202924744,0.08296082413415976
Maximum,0.3483630844687733,0.4362736021126525,0.44718467236817866,0.33608935414380803,0.35117711331450047
Mean,0.0001825422241640683,0.022519528211507617,0.030391035137800546,0.021535853948003388,0.016469813748372204
SD,0.09399220465198267,0.11237684055351302,0.1167491868089599,0.11178760530488593,0.10522918506088329
