year,month,Linear,RandomForest,NN1,NN2,NN3,NN4,NN5
2024,11,-0.03138461294328682,0.018692984486422946,1.265550136566162,0.4994036555290222,0.44717836380004883,0.005003675818443298,0.019638754427433014
2024,10,0.17078633641465374,0.019205075689019278,0.1916627734899521,-0.15093277394771576,-0.36308398842811584,0.01643366366624832,0.02808530628681183
2024,9,0.06061866289290189,0.017234088892540567,0.9068145751953125,1.658353567123413,-0.43386760354042053,0.016507411375641823,0.15385006368160248
2024,8,-0.21970940913468592,0.021488966769071815,-0.4195047914981842,1.4688488245010376,0.5371174812316895,-0.2583604156970978,-0.19047653675079346
2024,7,0.14079896534360947,0.006798626199988444,-0.35248371958732605,-1.2691746950149536,0.09664934873580933,0.8089720606803894,0.017941651865839958
2024,6,0.030385302604605507,0.014630216273778895,-1.55409574508667,0.7328677773475647,-0.06396045535802841,0.347438782453537,0.21374472975730896
2024,5,0.09252034759868401,0.011624164173503548,-0.9394052624702454,0.9871262311935425,0.05316828563809395,0.30396780371665955,0.01486726850271225
2024,4,0.1366900105936772,0.015333343878463676,-2.228624105453491,-2.3222525119781494,-0.1487443596124649,-0.1667073667049408,0.029959989711642265
2024,3,0.11061246824907034,0.001297191701410173,-0.4393106698989868,0.7771924138069153,-0.5637333393096924,0.02702709659934044,0.023981433361768723
2024,2,-0.1383408465133773,0.025763989010476454,0.7646088004112244,0.13777653872966766,-0.39198845624923706,-0.053813256323337555,1.6253032684326172
2024,1,0.1449628640506406,0.017061815088601367,2.0129411220550537,-1.5202442407608032,-0.919837236404419,-0.08948465436697006,0.035532452166080475
2023,12,-0.0949884528560182,0.01876609447681171,1.558894157409668,-1.3899470567703247,0.03788767382502556,-0.10684563964605331,0.01601225882768631
2023,11,0.2139366249353071,0.021325630820957925,-0.09828156232833862,-1.5366978645324707,0.009538155980408192,0.3656899929046631,0.024984875693917274
2023,10,0.04342757721386379,0.026606218721554314,1.8097941875457764,-0.03725724667310715,0.11844957619905472,0.5412086248397827,0.037679001688957214
2023,9,-0.11722079981165773,-0.00043430813136294017,-0.26481106877326965,-1.0298291444778442,-1.1485131978988647,0.23213674128055573,0.015572614967823029
2023,8,0.2121166187741867,-0.005960275395337378,-3.8602817058563232,-0.2570264935493469,0.010740747675299644,-0.05829162895679474,-0.012353677302598953
2023,7,0.01465871541163094,-0.02237906896442131,2.070453643798828,-0.20808713138103485,-0.009817900136113167,0.013988375663757324,0.012087840586900711
2023,6,-0.021006513883034317,0.027608340549370912,1.1466305255889893,-1.3554935455322266,-0.4459311366081238,0.012544285506010056,0.0061949798837304115
2023,5,-0.08077343419873026,0.022344174868450882,-1.059094786643982,0.7817928194999695,-0.34580928087234497,-0.08813434839248657,-0.11159812659025192
2023,4,0.0735961116464823,0.011318462384419213,-0.13553649187088013,-0.19153444468975067,0.010629111900925636,-1.2122966051101685,0.024694496765732765
2023,3,0.18898633238005755,0.02431765345504776,0.9209259152412415,0.6154789924621582,-1.4196797609329224,0.12587521970272064,0.0774829164147377
2023,2,0.1608400371878078,0.023620696356900804,-0.32802993059158325,2.5659663677215576,0.6821128726005554,-0.242709219455719,0.014021973125636578
2023,1,-0.11537167063400039,0.002582997557537851,-1.1014323234558105,0.15118683874607086,-1.6925212144851685,-0.11614907532930374,-0.014989280141890049
2022,12,-0.09324791976458127,0.015622744743408074,-0.366332471370697,-1.9375637769699097,-0.4032658636569977,0.08134852349758148,0.010273332707583904
2022,11,-0.08742252231336316,0.026942200400273217,1.4018954038619995,1.1815624237060547,0.41324353218078613,-0.0013768604258075356,0.01358797401189804
