date,spindx,SP500_next_period_return,SP500_cumulative_return
1973-02,111.68,-0.0014336920018486968,1.2377658542653216
1973-03,111.52,-0.04165552569417425,1.1445505412254264
1973-04,106.97,-0.01906437505139743,1.1036660253908277
1973-05,104.95,-0.006596266926682109,1.0897896827627571
1973-06,104.26,0.037278412874629255,1.1676937253779278
1973-07,108.22,-0.03737433153567837,1.0866776214178433
1973-08,104.25,0.03931294280517974,1.1687110594014913
1973-09,108.43,-0.0012919898438024683,1.1659091067386025
1973-10,108.29,-0.12088137566879437,0.9040910343424708
1973-11,95.96,0.01643362909762641,0.9353821601689707
1973-12,97.55,-0.010096933090293792,0.9158407359935963
1974-01,96.57,-0.0036308977075188197,0.9088845142573061
1974-02,96.22,-0.023555242596637976,0.8639202764350098
1974-03,93.98,-0.03983379741196225,0.789673253751449
1974-04,90.31,-0.03412685473789204,0.7285973345923829
1974-05,87.28,-0.014774045271307656,0.7030589593152532
1974-06,86.0,-0.08098307215827948,0.5651400127232216
1974-07,79.31,-0.09461693887534836,0.4170512558080266
1974-08,72.15,-0.12707765637850985,0.23697570325171835
1974-09,63.54,0.15104319911278605,0.4238124706956463
1974-10,73.9,-0.05464624919635083,0.34600645961314
1974-11,69.97,-0.020357304468280935,0.31860539629852247
1974-12,68.56,0.1158363735660757,0.47134786357040137
1975-01,76.98,0.058161057585108714,0.5569230113912462
1975-02,81.59,0.02146187256434792,0.5903374946542259
1975-03,83.36,0.04618188484049969,0.6637822776898763
1975-04,87.3,0.043156038279115586,0.7355845293539749
1975-05,91.15,0.04336839313854175,0.8108540415481691
1975-06,95.19,-0.07005146590768875,0.6840010613928571
1975-07,88.75,-0.0212955721698999,0.6481392952557776
1975-08,86.88,-0.0352598751893051,0.5900261094104697
1975-09,83.87,0.05981772597096932,0.6851378555098717
1975-10,89.04,0.024407690448897713,0.726268178650876
1975-11,91.24,-0.0115748412385705,0.7062868985477957
1975-12,90.19,0.11181486047096256,0.897075130032349
1976-01,100.86,-0.011467443807877717,0.8753205275793807
1976-02,99.71,0.030227508796280198,0.9320067953226314
1976-03,102.77,-0.011056323185018374,0.9106459037978927
1976-04,101.64,-0.014468590522492556,0.8830015505823632
1976-05,100.18,0.040111021135830226,0.9585306655765733
1976-06,104.28,-0.008087854601699005,0.942690354320421
1976-07,103.44,-0.005136914615601727,0.932710919845724
1976-08,102.91,0.022388636324091705,0.9759816817497506
1976-09,105.24,-0.022485813332087955,0.9315501265063004
1976-10,102.9,-0.007804917669384203,0.9164745367946301
1976-11,102.1,0.05116596013005545,1.0145327965345303
1976-12,107.46,-0.051851797613461516,0.9100756496829412
1977-01,102.03,-0.021898323645750714,0.8682481949183165
1977-02,99.82,-0.014124528603630976,0.8418600698505108
1977-03,98.42,0.00020319008502289352,0.8422343175547038
1977-04,98.44,-0.023849814654586837,0.7982973705307048
1977-05,96.12,0.04436129185162042,0.8780721650208192
1977-06,100.48,-0.016355153103262736,0.8473560072229276
1977-07,98.85,-0.02126652072377475,0.8080691724111313
1977-08,96.77,-0.0024831880323273004,0.80357939668058
1977-09,96.53,-0.04437642378168087,0.7235429930495743
1977-10,92.34,0.02660839781679322,0.7694037106629839
1977-11,94.83,0.002843154655708485,0.7744343990607829
1977-12,95.1,-0.06348754889159611,0.6617799083954814
1978-01,89.25,-0.02507363755211585,0.6201130412809848
1978-02,87.04,0.024625357818059357,0.6600089046282334
1978-03,89.21,0.08196372269774779,0.796069414162974
1978-04,96.83,0.004225285824482914,0.8036583207984243
1978-05,97.24,-0.01774181516600558,0.7716581482481906
1978-06,95.53,0.05250683598519816,0.8646823120600982
1978-07,100.68,0.02559339575142692,0.9124058644233379
1978-08,103.29,-0.007287599662987565,0.8984690160902711
1978-09,102.54,-0.0960418693079571,0.7161365029617233
1978-10,93.15,0.016502903144435168,0.7444577374527304
1978-11,94.7,0.014779368643160356,0.7702397214369576
1978-12,96.11,0.038976572038505124,0.8392375974649684
1979-01,99.93,-0.03720932795882687,0.7708008025066895
1979-02,96.28,0.05368449218858234,0.8658653443563953
1979-03,101.59,0.0016719944883584112,0.868985060928178
1979-04,101.76,-0.02668949497065327,0.8191027935443091
1979-05,99.08,0.0379272152268414,0.8880962967148127
1979-06,102.91,0.008707485357153816,0.9045368675713532
1979-07,103.81,0.05171705585471325,1.0030339071289016
1979-08,109.32,0.0,1.0030339071289016
1979-09,109.32,-0.07107281258567726,0.8606726536447724
1979-10,101.82,0.04174084154976219,0.9383386960565345
1979-11,106.16,0.01662812716654461,0.9705696383863971
1979-12,107.94,0.056025455978084254,1.0809717009135635
1980-01,114.16,-0.004389437299605528,1.0718374061101499
1980-02,113.66,-0.10735675868805132,0.8494116576615045
1980-03,102.09,0.04031643036456621,0.9239733339730316
1980-04,106.29,0.045518821820273746,1.011550333349108
1980-05,111.24,0.0266114692255101,1.0650806431405924
1980-06,114.24,0.06301096320808354,1.1952033635672499
1980-07,121.67,0.005818496235036661,1.2079761460733058
1980-08,122.38,0.02485602463420267,1.2628576555518358
1980-09,125.46,0.015894060126232765,1.2988236511862827
1980-10,127.47,0.09746878460279644,1.5228871984835726
1980-11,140.52,-0.0344612064716556,1.4359454618319334
1980-12,135.76,-0.046821713917851795,1.3218903202985492
1981-01,129.55,0.01318936380719701,1.352514576453376
1981-02,131.27,0.03539861492073584,1.435790334040667
1981-03,136.0,-0.023735350323892644,1.3779759971466605
1981-04,132.81,-0.0016578752855319718,1.374033609511403
1981-05,132.59,-0.010462567009002974,1.3491951237902646
1981-06,131.21,-0.002212643484644734,1.343997192505451
1981-07,130.92,-0.06411087046055833,1.1937214921368215
1981-08,122.79,-0.05533486660803486,1.0723322059942513
1981-09,116.18,0.0479782861033585,1.1717591534746474
1981-10,121.89,0.03593683516645811,1.2498053041943127
1981-11,126.35,-0.03053672386008165,1.181103620881184
1981-12,122.55,-0.01769957709940086,1.142499009181615
1982-01,120.4,-0.062458736331431036,1.0086812284767883
1982-02,113.11,-0.010219131896037013,0.9881542500658904
1982-03,111.96,0.039234454230169705,1.066158396992618
1982-04,116.44,-0.03994925054366354,0.9836169175282659
1982-05,111.88,-0.02049825710612694,0.9429562279527084
1982-06,109.61,-0.02325900881484829,0.8977649919198918
1982-07,107.09,0.10973044746600602,1.1060075936685827
1982-08,119.51,0.007585582157512179,1.1219828872947004
1982-09,120.42,0.10468764359027238,1.344128275504465
1982-10,133.71,0.03548581696788478,1.4273115824382603
1982-11,138.54,0.015044341342407792,1.4638288864288413
1982-12,140.64,0.032597136639370625,1.5441426532957907
1983-01,145.3,0.018817026438714916,1.5920158528667199
1983-02,148.06,0.03255885228813889,1.6764089141487215
1983-03,152.96,0.07224768042089597,1.8697732500537758
1983-04,164.42,-0.01242328024699116,1.834121252723039
1983-05,162.39,0.03461767756797131,1.9322319484383406
1983-06,168.11,-0.03357136265485027,1.833792926309179
1983-07,162.56,0.01125531823196256,1.8656881674982735
1983-08,164.4,0.010106903596582019,1.894651401545044
1983-09,166.07,-0.015290632234268693,1.8503903515176083
1983-10,163.55,0.01727577440271522,1.8996330521901026
1983-11,166.4,-0.008873386927047356,1.8739034861715647
1983-12,164.93,-0.009258761396368111,1.8472946995169113
1984-01,163.41,-0.03963448211696414,1.7344436486671815
1984-02,157.06,0.013407739430974706,1.7711063565971945
1984-03,159.18,0.005450629038168816,1.7862106293723174
1984-04,160.05,-0.06119101148812923,1.6157195827420483
1984-05,150.55,0.017318445553704525,1.6610197799195254
1984-06,153.18,-0.016588058083898842,1.6168786292478168
1984-07,150.66,0.10105016415670413,1.8813146443114794
1984-08,166.68,-0.003485789935003583,1.87127098672476
1984-09,166.1,-6.020650834168813e-05,1.8710981175241463
1984-10,166.09,-0.015227642804079362,1.827378060935024
1984-11,163.58,0.022127739181536214,1.8899415452349917
1984-12,167.24,0.07146927329237988,2.096483567330394
1985-01,179.63,0.00864702466727182,2.123258937118902
1985-02,181.19,-0.0029293927263186574,2.114109685106096
1985-03,180.66,-0.004604851544591819,2.0997696723126067
1985-04,179.83,0.05264088178523823,2.2629442811942813
1985-05,189.55,0.012060974730617525,2.3022985697171783
1985-06,191.85,-0.00485932455526558,2.2862516291885333
1985-07,190.92,-0.01206706778006253,2.2465962080367743
1985-08,188.63,-0.03534127341966706,2.1318573637652922
1985-09,182.08,0.04163010376437992,2.2622369107940785
1985-10,189.82,0.0630326729238892,2.4678644229924007
1985-11,202.17,0.04407534036264149,2.620711727767286
1985-12,211.28,0.0023637320134316047,2.6292701199896165
1986-01,211.78,0.069049532456058,2.879869524931641
1986-02,226.92,0.05144752187339746,3.07947919718149
1986-03,238.9,-0.014249218791252374,3.021349805546488
1986-04,235.52,0.04900850213320605,3.2184301360699807
1986-05,247.35,0.014010948001102428,3.27753434135274
1986-06,250.84,-0.06047513530233148,3.0188498732990636
1986-07,236.12,0.06877262023020542,3.2952367093976696
1986-08,252.93,-0.08931073731267657,2.911625951948889
1986-09,231.32,0.053284221430574034,3.120053895326113
1986-10,243.98,0.02124978579413014,3.2076041580620647
1986-11,249.22,-0.02869608164231129,3.086862405623787
1986-12,242.17,0.12378007570339945,3.592734543581277
1987-01,274.08,0.036258181087190464,3.759258744347842
1987-02,284.2,0.026047661210675557,3.88322630373456
1987-03,291.7,-0.011516177337297796,3.8269902036425956
1987-04,288.36,0.00601599159098053,3.856029336117455
1987-05,290.1,0.046802010278863354,4.083301271020886
1987-06,304.0,0.047097002256141135,4.322709522450802
1987-07,318.66,0.03436170646313571,4.5056069046497935
1987-08,329.8,-0.02446295430648614,4.370923494511871
1987-09,321.83,-0.2454280490561666,3.0527482196238935
1987-10,251.79,-0.08921259993620634,2.6911920140644146
1987-11,230.3,0.07032936400105885,2.9507912008193524
1987-12,247.08,0.03963625052143875,3.1073857506129237
1988-01,257.07,0.04096669171828301,3.2756517564263516
1988-02,267.82,-0.033911852007609634,3.1306564868263456
1988-03,258.89,0.009380715439099784,3.169404999905935
1988-04,261.33,0.003171027891648908,3.1826262994522168
1988-05,262.16,0.04234661747147659,3.359746375381258
1988-06,273.5,-0.005426028857428595,3.3360902657373694
1988-07,272.02,-0.03936483058865216,3.1654008070095143
1988-08,261.52,0.03896036677345695,3.327686350209059
1988-09,271.91,0.025633119968803644,3.438618453611322
1988-10,278.97,-0.01907163311158232,3.3539667509417477
1988-11,273.7,0.014580795838439433,3.4174510512245826
1988-12,277.72,0.06869996767974881,3.7209297956705836
1989-01,297.47,-0.029371237891800857,3.582270243571452
1989-02,288.86,0.020592439573627015,3.676630366672226
1989-03,294.87,0.04887575108986489,3.905204188413002
1989-04,309.64,0.03453434457335714,4.074602200058332
1989-05,320.52,-0.007956189189306675,4.034227704894197
1989-06,317.98,0.08468147448418545,4.460533529833774
1989-07,346.08,0.015397491417165792,4.544612047992535
1989-08,351.45,-0.006565824329870139,4.508207099308135
1989-09,349.15,-0.025497748310687626,4.367760221046833
1989-10,340.36,0.01640599192460053,4.455823651886519
1989-11,345.99,0.021190686979638836,4.571436303109755
1989-12,353.4,-0.0712996775848665,4.17419469101341
1990-01,329.08,0.008502706414199632,4.218189349401007
1990-02,331.89,0.023965542734276302,4.3432460892496225
1990-03,339.94,-0.02725516829966913,4.197615017820575
1990-04,330.8,0.08800091142270103,4.655009876613104
1990-05,361.23,-0.008926023810191917,4.604533123807585
1990-06,358.02,-0.005236860337682712,4.575182966580288
1990-07,356.15,-0.09906282498141365,4.022889592122587
1990-08,322.56,-0.05254067814587028,3.758983566700632
1990-09,306.05,-0.006720785890857207,3.726999457090729
1990-10,304.0,0.05820684065661893,4.002143161273533
1990-11,322.22,0.024524556940845963,4.124818506058449
1990-12,330.22,0.04067904929105102,4.33329125067409
1991-01,343.93,0.06511441726691576,4.680565402576474
1991-02,367.07,0.021959955053811844,4.805310363497292
1991-03,375.22,0.0003464034035464316,4.807321342765851
1991-04,375.35,0.03785182263787916,5.027139040233394
1991-05,389.83,-0.04907751017191187,4.731342062678813
1991-06,371.16,0.043882292478987416,4.982846491370408
1991-07,387.81,0.0194582514285181,5.099262222657721
1991-08,395.43,-0.019329330624389317,4.981367566591122
1991-09,387.86,0.011790171433081479,5.051888915605505
1991-10,392.46,-0.04492210058571139,4.780025353005122
1991-11,375.22,0.10578950523409669,5.3914913753400695
1991-12,417.09,-0.02010044909879286,5.263019528284673
1992-01,408.79,0.009519360007767297,5.322639465910091
1992-02,412.7,-0.02207368007590155,5.183075545104322
1992-03,403.69,0.02751077436182243,5.353176741287789
1992-04,414.95,0.0009635072406235631,5.359298073078981
1992-05,415.35,-0.017511285484140954,5.247938589042548
1992-06,408.14,0.038618362837734996,5.489223748462079
1992-07,424.21,-0.024290180670616498,5.33159933119988
1992-08,414.03,0.0090644141544072,5.388991569797643
1992-09,417.8,0.00210405586421754,5.4024343649765125
1992-10,418.68,0.029812920535904664,5.5933096319359015
1992-11,431.35,0.010057058909607923,5.659618935313565
1992-12,435.71,0.007021264078719025,5.70637787852204
1993-01,438.78,0.010429041654892349,5.7763189727705955
1993-02,443.38,0.01852463452645282,5.90184780517584
1993-03,451.67,-0.025745372804774513,5.724157160389773
1993-04,440.19,0.022463263988382214,5.875203677782979
1993-05,450.19,0.0007549516301373383,5.880394124007047
1993-06,450.53,-0.00534129861324958,5.843643884413877
1993-07,448.13,0.033852457573435274,6.075318048658699
1993-08,463.56,-0.010038133482406217,6.004295061655784
1993-09,458.93,0.019207289080128778,6.138828581707525
1993-10,467.83,-0.012994739773819838,6.046061361998328
1993-11,461.79,0.010040591116877065,6.116807983118579
1993-12,466.45,0.031983824491671184,6.344430720591569
1994-01,481.61,-0.03050565928931071,6.120384019355256
1994-02,467.14,-0.04682587467296497,5.786965809641544
1994-03,445.77,0.011464639111236987,5.864775923309389
1994-04,450.91,0.012342842552530193,5.949506771689197
1994-05,456.51,-0.027178119882611214,5.76063224352321
1994-06,444.27,0.030982401002292763,5.970092862721076
1994-07,458.25,0.036951995265630644,6.2276517011853505
1994-08,475.5,-0.027266374030260387,6.030579846540383
1994-09,462.71,0.02061972825995886,6.17554849248599
1994-10,472.35,-0.04030609078438459,5.886330183520095
1994-11,453.69,0.012224126981340542,5.970509558118883
1994-12,459.27,0.023987640275298247,6.137715633934568
1995-01,470.42,0.035438711264096985,6.390667077370806
1995-02,487.39,0.026962467224111115,6.589937696208733
1995-03,500.71,0.02757654408783848,6.79924194771218
1995-04,514.71,0.03566797648446964,7.077425126099866
1995-05,533.4,0.021055362076815406,7.2474982367782665
1995-06,544.75,0.031281631936187715,7.505493441015522
1995-07,562.06,-0.00032030179820779727,7.50276911617172
1995-08,561.88,0.03931448733485356,7.837051124900638
1995-09,584.41,-0.004991819338843618,7.792938162197009
1995-10,581.5,0.04022886938718334,8.146668123053612
1995-11,605.37,0.017293479366880037,8.304845839515338
